Date,open,high,low,close,volume,adjusted_close
1984-09-07,3.000,3.125,3.000,3.000,3000,4.187
1984-09-10,3.000,3.125,3.000,3.000,1700,4.187
1984-09-11,3.000,3.125,2.875,3.125,1600,4.362
1984-09-12,3.000,3.000,2.875,2.875,400,4.013
1984-09-13,2.875,3.125,2.875,3.125,1500,4.362
1984-09-14,3.000,3.000,2.750,2.875,9900,4.013
1984-09-17,3.000,3.000,3.000,3.000,1100,4.187
1984-09-18,3.000,3.000,2.875,3.000,1500,4.187
1984-09-19,2.875,2.875,2.875,2.875,2400,4.013
1984-09-20,2.875,2.875,2.750,2.875,3500,4.013
1984-09-21,2.750,2.750,2.750,2.750,600,3.838
1984-09-24,2.750,2.875,2.750,2.750,3000,3.838
1984-09-25,2.750,2.875,2.750,2.875,1100,4.013
1984-09-26,2.875,2.875,2.750,2.875,1500,4.013
1984-09-27,2.750,2.750,2.750,2.750,300,3.838
1984-09-28,2.750,2.750,2.625,2.625,600,3.664
1984-10-01,2.625,2.625,2.625,2.625,1000,3.664
1984-10-02,2.625,2.625,2.625,2.625,0,3.664
1984-10-03,2.625,2.750,2.625,2.625,200,3.664
1984-10-04,2.625,2.625,2.500,2.500,1200,3.489
1984-10-05,2.625,2.625,2.625,2.625,300,3.664
1984-10-08,2.625,2.750,2.625,2.625,1900,3.664
1984-10-09,2.625,2.625,2.625,2.625,500,3.664
1984-10-10,2.625,2.625,2.500,2.500,800,3.489
1984-10-11,2.500,2.500,2.500,2.500,100,3.489
1984-10-12,2.500,2.625,2.500,2.625,600,3.664
1984-10-15,2.625,2.625,2.625,2.625,400,3.664
1984-10-16,2.625,2.625,2.000,2.250,37700,3.140
1984-10-17,2.250,2.250,2.125,2.250,6700,3.140
1984-10-18,2.250,2.250,2.125,2.125,600,2.966
1984-10-19,2.125,2.250,2.125,2.125,1500,2.966
1984-10-22,2.125,2.250,2.125,2.250,4100,3.140
1984-10-23,2.125,2.125,2.000,2.000,14900,2.791
1984-10-24,2.000,2.250,2.000,2.250,11900,3.140
1984-10-25,2.250,2.250,2.250,2.250,700,3.140
1984-10-26,2.125,2.125,2.125,2.125,400,2.966
1984-10-29,2.125,2.125,2.125,2.125,3600,2.966
1984-10-30,2.125,2.125,2.000,2.000,4700,2.791
1984-10-31,2.000,2.000,2.000,2.000,4000,2.791
1984-11-01,2.000,2.000,2.000,2.000,6200,2.791
1984-11-02,2.000,2.000,1.875,1.875,1300,2.617
1984-11-05,1.875,2.250,1.875,2.250,4300,3.140
1984-11-06,2.125,2.125,2.000,2.000,2000,2.791
1984-11-07,2.000,2.000,2.000,2.000,700,2.791
1984-11-08,2.000,2.250,1.875,2.125,2900,2.966
1984-11-09,2.125,2.375,2.000,2.125,4000,2.966
1984-11-12,2.125,2.125,2.000,2.125,600,2.966
1984-11-13,2.125,2.125,2.000,2.000,2700,2.791
1984-11-14,2.000,2.250,2.000,2.000,1800,2.791
1984-11-15,2.000,2.125,2.000,2.125,1400,2.966
1984-11-16,2.125,2.125,2.125,2.125,0,2.966
1984-11-19,2.125,2.250,2.125,2.125,1300,2.966
