Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
5/30/06,14.21,36.6013,1454398720,781500,1.5013,1.174,14.7,14.2133,14.2197,82.4675,25.2208,1293298688,0.0691,0.99,14.21,21.715,-0.0082,0.7444,,,,,,,,
5/31/06,14.65,36.4502,1483568896,1351200,1.4562,3.8674,15.1467,14.7533,14.2997,88.8314,28.6617,1322468992,0.0733,0.9956,14.65,22.2,-0.0067,0.7611,,,,,,,,
6/1/06,15.04,36.3388,1509424384,1618200,1.4184,1.0589,15,14.6033,14.3547,56.6623,31.5498,1348324480,0.0758,1.0007,15.04,21.825,-0.011,0.7482,,,,,,,,
6/2/06,14.6333,36.8054,1482464000,831300,1.4579,-2.5783,14.6333,14.0667,14.3057,33.2623,30.2297,1321363968,0.0716,1,14.6333,21.8,-0.0178,0.7474,,,,,,,,
6/5/06,14.1067,37.0617,1460243200,1107300,1.5123,-3.3379,14.2467,13.8267,14.3053,29.4518,28.625,1299143168,0.0662,1.0114,14.1067,21.885,-0.0158,0.7503,,,,,,,,
6/6/06,13.9967,37.1103,1452950528,924900,1.5242,-2.7394,14.4633,14,14.346,37.8643,28.3004,1291850624,0.0648,1.0117,13.9967,21.95,-0.0151,0.7525,,,,,,,,
6/7/06,14.0833,37.0066,1458696192,928200,1.5148,-1.6805,14.2567,13.5867,14.3827,52.8007,28.957,1297596288,0.0672,1.0094,14.0833,22.015,-0.0126,0.7547,,,,,,,,
6/8/06,14.2367,36.8244,1468861696,937500,1.4985,0.1151,14.85,14.2367,14.3933,70.7093,30.1281,1307761664,0.0664,1.0092,14.2367,22.375,-0.0048,0.7671,,,,,,,,
6/9/06,14.4967,36.912,1486098688,1411500,1.4716,-1.0129,14.4833,14.16,14.3787,52.0865,32.0916,1324998656,0.0758,0.9987,14.4967,22.355,-0.0131,0.7664,,,,,,,,
6/12/06,14.3333,36.984,1476116608,1555800,1.4884,-0.4834,14.61,14.2033,14.3987,59.5815,31.516,1315016576,0.0771,0.997,14.3333,22.32,-0.0133,0.7652,,,,,,,,
6/13/06,14.41,36.8928,1481199360,1357200,1.4805,-0.023,14.5967,14.3667,14.3813,66.4308,32.1073,1320099328,0.0801,0.9922,14.41,22.235,-0.015,0.7623,,,,,,,,
6/14/06,14.4767,36.8937,1481387392,1243800,1.4736,2.2099,14.9067,14.5667,14.3573,84.9656,32.6305,1320287360,0.0799,0.992,14.4767,23.3,-0.0373,0.7988,,,,,,,,
6/15/06,14.8,36.7887,1517210880,886200,1.4414,0.4834,15,14.5067,14.349,51.7968,35.1384,1356110848,0.0796,0.992,14.8,20.5133,-0.0431,0.735,,,6.7764,59200000,0.9855,4.222,8.3366,43.5891
6/16/06,14.55,37.0731,1500636800,1170600,1.4662,0.3683,14.6467,14.31,14.3917,49.8507,34.1224,1339536896,0.0767,0.9937,14.55,20.6549,-0.0436,0.7401,,,,,,,,
6/19/06,14.5333,37.2199,1488529536,636300,1.4679,0.7597,14.6933,14.3533,14.451,57.9148,34.0545,1327429504,0.075,0.9919,14.5333,20.1416,-0.0451,0.7217,,,,,,,,
6/20/06,14.59,37.0704,1496518016,599700,1.4622,1.0589,14.8233,14.5867,14.506,64.4685,34.5129,1335417984,0.0756,0.9919,14.59,20.0929,-0.0469,0.7199,,,,,,,,
6/21/06,14.6333,37.0217,1499390848,907800,1.4579,1.3582,14.8067,14.5167,14.55,71.1967,34.871,1338290816,0.0742,0.9898,14.6333,19.9159,-0.0406,0.7136,,,,,,,,
6/22/06,14.6767,36.9739,1502263680,329400,1.4536,3.0157,15.0667,14.6167,14.592,88.8061,35.2374,1341163648,0.0765,0.9889,14.6767,20.1549,-0.0387,0.7222,,,,,,,,
6/23/06,14.9167,36.6735,1520290560,460500,1.4302,2.9236,15.1667,14.7433,14.649,84.501,37.2596,1359190528,0.0788,0.9871,14.9167,20.1106,-0.0405,0.7206,,,,,,,,
