Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta
5/24/07,9.215,15.6789,11007156,0,9.555,9.17,9.526,0,40.5303,5167244800,0.0412,1.4003
5/25/07,9.425,14.9582,11398966,2.2789,9.53,9.165,9.49,40.6452,43.6231,5340406784,0.0438,1.4025
5/29/07,9.56,14.9968,5978824,3.7439,9.64,9.365,9.492,57.3581,45.5077,5416900608,0.0405,1.4116
5/30/07,9.725,14.852,9220378,5.5345,9.74,9.48,9.525,71.8762,47.7175,5510393344,0.0412,1.4126
5/31/07,9.895,14.2927,8398702,7.3793,9.9,9.625,9.5675,81.5724,49.8837,5606718976,0.0445,1.4124
6/1/07,9.435,14.6881,24752008,2.3874,10.125,9.33,9.563,33.9977,44.6996,5346073088,0.0363,1.4098
6/4/07,9.565,15.244,11998114,3.7982,9.61,9.275,9.5565,47.0811,46.3302,5419733504,0.0311,1.4082
6/5/07,9.755,15.0732,12222956,5.86,9.79,9.5,9.5645,63.1117,48.6208,5527391744,0.0371,1.4027
6/6/07,9.785,15.0349,13085068,6.1856,9.795,9.6,9.5875,65.5812,48.9765,5544390144,0.0409,1.3974
6/7/07,9.23,16.0659,16782008,0.1628,9.745,9.21,9.559,22.9491,43.2468,5229915648,0.0346,1.4145
6/8/07,9.265,16.031,12417252,0.5426,9.34,9.15,9.564,27.4127,43.6766,5249747456,0.0337,1.4085
6/11/07,9.365,15.5678,11910852,1.6278,9.425,9.215,9.558,41.8498,44.9099,5306409472,0.0233,1.4034
6/12/07,9.25,15.6793,6811100,0.3798,9.365,9.21,9.527,31.1593,43.7697,5241247744,0.0244,1.4017
6/13/07,9.275,15.6488,6951198,0.6511,9.37,9.175,9.482,36.4527,44.089,5255413248,0.0208,1.3914
6/14/07,9.66,15.2864,12543268,4.8291,9.7,9.215,9.4585,77.1103,48.7263,5473562624,0.0293,1.3969
6/15/07,9.565,15.3735,13698844,3.7982,9.86,9.44,9.4715,62.3461,47.716,5419733504,0.0243,1.3926
6/18/07,9.79,15.2735,9528432,6.2398,9.795,9.525,9.494,77.5899,50.2435,5547223552,0.0292,1.3919
6/19/07,9.615,15.4333,5680118,4.3407,9.75,9.565,9.48,52.6994,48.3625,5448064512,0.0251,1.3911
6/20/07,9.405,15.6338,6478994,2.0619,9.627,9.3899,9.442,33.4083,46.2146,5329074176,0.025,1.3913
6/21/07,9.505,15.5383,9493672,3.147,9.52,9.27,9.4695,47.2111,47.3661,5385736192,0.0225,1.3924
6/22/07,9.355,15.6821,5752842,1.5193,9.51,9.34,9.4785,32.1959,45.8431,5300743168,0.0232,1.3906
6/25/07,9.32,15.9124,7555762,1.1394,9.48,9.235,9.474,28.971,45.4901,5280911360,0.0294,1.3854
6/26/07,9.25,15.9825,6115136,0.3798,9.32,9.21,9.474,22.2769,44.7766,5241247744,0.0289,1.3857
6/27/07,9.415,15.6439,5013428,2.1704,9.42,9.08,9.488,57.2238,46.8108,5334740480,0.0295,1.3866
6/28/07,9.435,15.4233,6284852,2.3874,9.46,9.31,9.4655,60.4565,47.0553,5346073088,0.0308,1.3878
6/29/07,9.335,14.7635,5559548,1.3022,9.5,9.27,9.4425,38.586,45.9623,5289410560,0.0299,1.3881
7/2/07,9.415,14.8375,5248616,2.1704,9.5,9.32,9.405,57.1762,46.9815,5334740480,0.0351,1.3878
7/3/07,9.43,14.8236,2314804,2.3332,9.495,9.39,9.3865,60.5359,47.1748,5343239680,0.0342,1.3874
7/5/07,9.375,14.352,12846116,1.7363,9.425,9.11,9.3835,42.2883,46.5314,5312075776,0.0329,1.3874
7/6/07,9.28,14.4394,11707336,0.7054,9.3514,9.03,9.361,23.7442,45.4245,5258246656,0.0233,1.3944
7/9/07,9.2,14.4821,12536622,-0.1628,9.37,9.155,9.3455,15.2803,44.5023,5212916736,0.0174,1.3946
7/10/07,9.585,14.4208,30393638,4.0152,9.63,9.315,9.372,76.2904,49.5967,5431066112,0.0322,1.3648
7/11/07,9.625,14.3852,15639382,4.4493,9.68,9.44,9.4095,78.6828,50.0892,5453730816,0.0312,1.364
7/12/07,9.655,14.3597,8869544,4.7748,9.735,9.61,9.4335,80.856,50.4646,5470729728,0.0245,1.3478
7/13/07,9.505,14.494,6459270,3.147,9.67,9.49,9.4405,45.8214,48.5745,5385736192,0.0194,1.3461
7/16/07,9.35,14.644,10786500,1.465,9.53,9.305,9.442,27.4115,46.7046,5297910272,0.0159,1.3482
7/17/07,9.1601,14.8268,14006602,-0.5962,9.3778,9.08,9.4165,15.7673,44.5315,5190287360,0.0118,1.3486
7/18/07,9.105,14.5813,12504098,-1.1937,9.175,8.94,9.384,13.3089,43.9186,5159087616,0.0112,1.3489
7/19/07,9.24,14.2204,12896388,0.2713,9.34,9.11,9.3705,44.9025,45.8101,5235581952,0.014,1.3512
7/20/07,9.095,14.3578,7878606,-1.3022,9.257,9.05,9.352,28.2912,44.1554,5153421824,0.0146,1.3501
