Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
6/20/2008,17.925,27.2869,9401996,181.3972,18.59,17.715,17.53,47.3551,64.4535,10638440448,0.245,0.9144,17.925,0.2516,4.2738,0.0395,,,,,9.0209,,
6/23/2008,17.815,26.2755,6466412,179.6703,18.341,17.8,17.5825,43.2252,63.5161,10573155328,0.2384,0.9146,17.815,0.2473,4.2788,,,,,,,,
6/24/2008,17.665,26.3563,10376594,177.3155,17.905,17.355,17.659,36.6817,62.2393,10484130816,0.2385,0.9155,17.665,0.2515,3.9614,,,,,,,,
6/25/2008,17.715,26.3295,7235784,178.1005,18.03,17.15,17.7705,41.1371,62.4992,10513806336,0.2376,0.9152,17.715,0.2424,3.8761,,,,,,,,
6/26/2008,17.4,26.5002,9519604,173.1554,17.735,17.185,17.8165,24.7078,59.8155,10326854656,0.2387,0.9131,17.4,0.2657,4.0154,,,,,,,,
6/27/2008,16.855,27.0535,14398234,164.5997,17.49,16.6,17.7835,12.1325,55.5465,10003398656,0.2369,0.9121,16.855,0.2732,3.979,,,,,,,,
6/30/2008,17.035,26.0649,12963614,167.4254,17.285,16.635,17.739,29.8264,56.6047,10110227456,0.2381,0.9015,17.035,0.2794,3.772,,,,,,,,
7/1/2008,17.055,25.9981,10649662,167.7394,17.165,16.215,17.6115,32.1051,56.7231,10122097664,0.2336,0.8994,17.055,0.2885,3.9853,,,,,,,,
7/2/2008,15.79,27.959,13025392,147.8807,17.4866,15.725,17.3905,7.8674,48.1301,9371323392,0.2214,0.9138,15.79,0.2942,4.0831,,,,,,,,
7/3/2008,15.45,28.181,8257540,142.5432,16.285,15.42,17.0705,6.0316,46.1848,9169533952,0.2165,0.9134,15.45,0.2836,4.132,0.2227,,,,,,,
7/7/2008,16.005,27.7626,11685404,151.2559,16.51,15.475,16.8785,40.1989,49.6231,9498925056,0.239,0.9026,16.005,0.2964,4.4256,,,,,,,,
7/8/2008,15.86,27.8581,15106262,148.9796,15.87,14.79,16.683,35.1853,48.7808,9412868096,0.2364,0.8972,15.86,0.2988,4.4946,0.1582,,,,,,,
7/9/2008,15.035,28.4062,68194368,136.0283,16.225,14.995,16.42,17.0435,44.3497,8923233280,0.2294,0.9073,15.035,0.2985,4.5159,,,,,,,,
7/10/2008,15.885,28.448,16517858,149.3721,16.325,15,16.237,53.8322,49.262,9427705856,0.2389,0.9115,15.885,0.3,4.6714,,,,,,,,
