Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
6/15/2006,8.248,80.0789,961053824,24459240,3.8137,8.3,7.96,8.4073,53.8196,60.6957,1081881984,1.5951,-0.582,8.248,180.868,0.3322,38.3286,,,3.3724,,4.7831,30.51,,0
6/16/2006,8.27,79.6252,963939584,18603430,4.0906,8.404,8.152,8.406,55.5929,60.8088,1084767616,1.5866,-0.5771,8.27,188.4293,0.3363,39.931,,,,,,,,
6/19/2006,7.875,84.2675,912127808,21647990,-0.8811,8.276,7.705,8.3609,27.33,57.7241,1032955904,1.5516,-0.5284,7.875,184.1021,0.3286,39.014,,,,,,,,
6/20/2006,7.915,83.6465,917374592,15022170,-0.3776,8.074,7.795,8.2539,32.5396,57.9476,1038202688,1.5469,-0.5284,7.915,191.8044,0.3555,40.6462,,,,,,,,
6/21/2006,8.44,65.6286,2968400640,30994770,6.2303,8.6,7.928,8.2214,72.0238,60.7636,3089228800,1.5751,-0.486,8.44,190.8579,0.3491,40.4457,,,,,,,,
6/22/2006,8.02,67.7093,2540303104,49085000,0.944,8.26,7.864,8.1607,42.3084,57.573,2661131264,1.5424,-0.4595,8.02,184.3191,0.3147,39.06,,,,,,,,
6/23/2006,8.0999,67.5611,2566825216,22171360,1.95,8.22,7.99,8.1047,48.3872,58.0071,2687653376,1.5395,-0.4591,8.0999,188.5724,0.323,39.9613,,,,,,,,
6/26/2006,8.188,69.5788,2596047616,14064740,3.0585,8.307,8.05,8.0816,56.0422,58.4912,2716875520,1.5401,-0.4587,8.188,186.2205,0.3384,39.4629,,,,,,,,
6/27/2006,8.196,69.1969,2598702080,18729570,3.1592,8.424,8.153,8.1192,56.9129,58.5361,2719530240,1.5288,-0.443,8.196,182.7531,0.3717,38.7281,,,,,,,,
6/28/2006,8.005,69.5382,2535325952,18426770,0.7552,8.309,7.77,8.1257,33.2941,57.0124,2656154112,1.5146,-0.4549,8.005,192.2872,0.3859,40.7485,,,,,,,,
6/29/2006,8.357,69.1489,2652123648,15107090,5.1857,8.379,8.034,8.1366,68.9339,59.0448,2772951808,1.5368,-0.3793,8.357,204.1689,0.4306,43.2665,,,,,,,,
6/30/2006,8.253,69.039,2606503424,9830160,3.8767,8.3885,8.162,8.1349,55.7364,58.2037,2738443520,1.5235,-0.3749,8.253,203.1673,0.4223,43.0542,,,,,,,,
7/3/2006,8.589,71.3834,2717992192,9527970,8.1057,8.597,8.3152,8.2063,77.0393,60.1032,2849932288,1.5379,-0.3581,8.589,201.0026,0.4581,42.5955,,,,,,,,
7/5/2006,8.399,71.7269,2654947840,11688180,5.7143,8.46,8.306,8.2547,54.7067,58.5468,2786887936,1.5178,-0.3368,8.399,194.4653,0.4575,41.2101,,,,,,,,
7/6/2006,8.754,71.1221,2772741120,29070460,10.1825,8.93,8.442,8.2861,75.0098,60.5227,2904681216,1.5306,-0.3323,8.754,193.9813,0.453,41.1075,,,,,,,,
7/7/2006,8.718,70.9031,2760795904,43284020,9.7294,9.179,8.577,8.3559,70.2217,60.2216,2892736000,1.5191,-0.3208,8.718,195.7474,0.4621,41.4818,,,,,,,,
