Pricing Date,"CF Industries Holdings, Inc. (NYSE:CF) - Share Pricing","CF Industries Holdings, Inc. (NYSE:CF) - Day High Price","CF Industries Holdings, Inc. (NYSE:CF) - Day Low Price","CF Industries Holdings, Inc. (NYSE:CF) - Day Open Price","CF Industries Holdings, Inc. (NYSE:CF) - Volume","CF Industries Holdings, Inc. (NYSE:CF) - Total Enterprise Value","CF Industries Holdings, Inc. (NYSE:CF) - Short Interest as % of Shares Outstanding","CF Industries Holdings, Inc. (NYSE:CF) - Dividend Yield","CF Industries Holdings, Inc. (NYSE:CF) - Shares Sold Short","CF Industries Holdings, Inc. (NYSE:CF) - Shares Outstanding","CF Industries Holdings, Inc. (NYSE:CF) - Market Cap/Total Revenues","CF Industries Holdings, Inc. (NYSE:CF) - P/BV","CF Industries Holdings, Inc. (NYSE:CF) - Latest Annualized Dividend Per Share"
"Wednesday, May 24, 2006",3.3,3.32,3.22,3.272,3430500,735262000,0.04325643,0.004848,11901575,275140000,0.490896,1.243777,0.016
"Thursday, May 25, 2006",3.392,3.466,3.324,3.346,2160500,760574880,0.04325643,0.004716,11901575,275140000,0.504582,1.278452,0.016
"Friday, May 26, 2006",3.43,3.46,3.352,3.42,2737500,771030200,0.04325643,0.004664,11901575,275140000,0.510234,1.292774,0.016
"Tuesday, May 30, 2006",3.35,3.468,3.308,3.43,1526500,749019000,0.04325643,0.004776,11901575,275140000,0.498334,1.262622,0.016
"Wednesday, May 31, 2006",3.416,3.438,3.304,3.37,3197000,767178240,0.04325643,0.004683,11901575,275140000,0.508152,1.287498,0.016
"Thursday, June 01, 2006",3.334,3.416,3.296,3.416,1909500,744616760,0.04325643,0.004799,11901575,275140000,0.495954,1.256592,0.016
"Friday, June 02, 2006",3.28,3.372,3.256,3.36,2036000,729759200,0.04325643,0.004878,11901575,275140000,0.487921,1.236239,0.016
"Monday, June 05, 2006",3.2,3.264,3.2,3.264,1756500,707748000,0.04325643,0.005,11901575,275140000,0.47602,1.206087,0.016
"Tuesday, June 06, 2006",3.144,3.25,3.112,3.2,1874000,692340160,0.04325643,0.005089,11901575,275140000,0.46769,1.18498,0.016
"Wednesday, June 07, 2006",3.14,3.194,3.058,3.138,2106000,691239600,0.04325643,0.005095,11901575,275140000,0.467095,1.183472,0.016
"Thursday, June 08, 2006",3.064,3.12,3.002,3.12,2604000,670328960,0.04325643,0.005221,11901575,275140000,0.455789,1.154828,0.016
"Friday, June 09, 2006",2.984,3.066,2.962,3.064,2787500,648317760,0.04325643,0.005361,11901575,275140000,0.443889,1.124676,0.016
"Monday, June 12, 2006",2.836,2.976,2.828,2.976,2690000,607597040,0.04325643,0.005641,11901575,275140000,0.421873,1.068894,0.016
"Tuesday, June 13, 2006",2.7,2.83,2.644,2.81,7450000,570178000,0.04325643,0.005925,11901575,275140000,0.401642,1.017636,0.016
"Wednesday, June 14, 2006",2.824,2.836,2.678,2.678,4068000,604295360,0.04325643,0.005665,11901575,275140000,0.420088,1.064371,0.016
"Thursday, June 15, 2006",2.876,2.928,2.834,2.852,4515000,618602640,0.04325643,0.005563,11901575,275140000,0.427823,1.08397,0.016
"Friday, June 16, 2006",2.852,2.888,2.83,2.878,4185500,611999280,0.04325643,0.00561,11901575,275140000,0.424253,1.074925,0.016
"Monday, June 19, 2006",2.766,2.856,2.752,2.856,1352000,588337240,0.04325643,0.005784,11901575,275140000,0.41146,1.042511,0.016
"Tuesday, June 20, 2006",2.746,2.754,2.694,2.75,3152500,582834440,0.04325643,0.005826,11901575,275140000,0.408485,1.034973,0.016
"Wednesday, June 21, 2006",2.78,2.812,2.73,2.738,1470500,592189200,0.04325643,0.005755,11901575,275140000,0.413543,1.047788,0.016
"Thursday, June 22, 2006",2.716,2.78,2.696,2.78,2478500,574580240,0.05221727,0.005891,14367060,275140000,0.404022,1.023666,0.016
"Friday, June 23, 2006",2.826,2.836,2.676,2.714,1949000,604845640,0.05221727,0.005661,14367060,275140000,0.420385,1.065125,0.016
"Monday, June 26, 2006",2.8,2.846,2.798,2.846,1196500,597692000,0.05221727,0.005714,14367060,275140000,0.416518,1.055326,0.016
"Tuesday, June 27, 2006",2.702,2.814,2.7,2.814,1904000,570728280,0.05221727,0.005921,14367060,275140000,0.40194,1.018389,0.016
"Wednesday, June 28, 2006",2.676,2.742,2.658,2.716,2147500,563574640,0.05221727,0.005979,14367060,275140000,0.398072,1.00859,0.016
"Thursday, June 29, 2006",2.88,2.888,2.71,2.71,1920500,619703200,0.05221727,0.005555,14367060,275140000,0.428418,1.085478,0.016
"Friday, June 30, 2006",2.852,2.942,2.832,2.91,6341500,611999280,0.05221727,0.00561,14367060,275140000,0.424253,1.074925,0.016
"Monday, July 03, 2006",2.808,2.852,2.774,2.81,737000,599893120,0.05221727,0.005698,14367060,275140000,0.417708,1.058341,0.016
"Wednesday, July 05, 2006",2.806,2.826,2.748,2.808,1311000,599342840,0.05221727,0.005702,14367060,275140000,0.41741,1.057587,0.016
"Thursday, July 06, 2006",2.804,2.85,2.766,2.816,1026000,598792560,0.05221727,0.005706,14367060,275140000,0.417113,1.056833,0.016
"Friday, July 07, 2006",2.75,2.794,2.726,2.794,1394000,583935000,0.05221727,0.005818,14367060,275140000,0.40908,1.036481,0.016
"Monday, July 10, 2006",2.734,2.772,2.726,2.75,1176500,579532760,0.05221727,0.005852,14367060,275140000,0.4067,1.03045,0.016
"Tuesday, July 11, 2006",2.76,2.784,2.67,2.722,1637000,586686400,0.05221727,0.005797,14367060,275140000,0.410567,1.04025,0.016
"Wednesday, July 12, 2006",2.748,2.856,2.748,2.754,1696000,583384720,0.05221727,0.005822,14367060,275140000,0.408782,1.035727,0.016
"Thursday, July 13, 2006",2.668,2.762,2.666,2.72,1276000,561373520,0.05221727,0.005997,14367060,275140000,0.396882,1.005575,0.016
"Friday, July 14, 2006",2.644,2.69,2.612,2.68,1326000,554770160,0.05221727,0.006051,14367060,275140000,0.393312,0.996529,0.016
"Monday, July 17, 2006",2.608,2.658,2.582,2.638,1248500,544865120,0.05221727,0.006134,14367060,275140000,0.387956,0.982961,0.016
"Tuesday, July 18, 2006",2.664,2.668,2.6,2.62,1095500,560272960,0.05221727,0.006006,14367060,275140000,0.396287,1.004067,0.016
"Wednesday, July 19, 2006",2.832,2.836,2.672,2.672,1852000,606496480,0.05221727,0.005649,14367060,275140000,0.421278,1.067387,0.016
"Thursday, July 20, 2006",2.74,2.85,2.738,2.842,1747000,581183600,0.05221727,0.005839,14367060,275140000,0.407592,1.032712,0.016
"Friday, July 21, 2006",2.768,2.812,2.708,2.74,3119000,588887520,0.05221727,0.00578,14367060,275140000,0.411757,1.043265,0.016
"Monday, July 24, 2006",2.86,2.86,2.736,2.77,1791500,614200400,0.05837585,0.005594,16061530,275140000,0.425443,1.07794,0.016
"Tuesday, July 25, 2006",2.966,2.972,2.84,2.87,2109500,643365240,0.05837585,0.005394,16061530,275140000,0.441211,1.117892,0.016
"Wednesday, July 26, 2006",2.972,2.988,2.874,2.962,1543000,645016080,0.05837585,0.005383,16061530,275140000,0.442104,1.120153,0.016
"Thursday, July 27, 2006",3.018,3.05,2.912,2.99,1927500,644172520,0.05837585,0.005301,16061530,275140000,0.439885,1.073674,0.016
"Friday, July 28, 2006",3.168,3.202,3.126,3.18,3939000,685443520,0.05837585,0.00505,16061530,275140000,0.461748,1.127037,0.016
"Monday, July 31, 2006",3.242,3.274,3.096,3.152,3384000,705803880,0.05837585,0.004935,16061530,275140000,0.472534,1.153363,0.016
"Tuesday, August 01, 2006",3.156,3.242,3.122,3.242,1699000,682141840,0.05837585,0.005069,16061530,275140000,0.459999,1.122768,0.016
"Wednesday, August 02, 2006",3.064,3.176,3.042,3.176,2220500,656828960,0.05837585,0.005221,16061530,275140000,0.44659,1.090038,0.016
"Thursday, August 03, 2006",3.044,3.098,3.02,3.042,1370500,651326160,0.05837585,0.005256,16061530,275140000,0.443675,1.082923,0.016
"Friday, August 04, 2006",3.08,3.172,3.042,3.11,1243000,661231200,0.05837585,0.005194,16061530,275140000,0.448922,1.09573,0.016
"Monday, August 07, 2006",3.074,3.08,3.024,3.05,2593500,659580360,0.05837585,0.005204,16061530,275140000,0.448048,1.093596,0.016
"Tuesday, August 08, 2006",2.984,3.114,2.976,3.092,1822000,634817760,0.05837585,0.005361,16061530,275140000,0.43493,1.061578,0.016
"Wednesday, August 09, 2006",3.006,3.052,3,3.022,1462000,640870840,0.05837585,0.005322,16061530,275140000,0.438136,1.069404,0.016
"Thursday, August 10, 2006",2.966,3.036,2.962,2.99,1754500,629865240,0.05837585,0.005394,16061530,275140000,0.432306,1.055174,0.016
"Friday, August 11, 2006",2.914,3.042,2.902,2.95,1429500,615557960,0.05837585,0.00549,16061530,275140000,0.424727,1.036675,0.016
"Monday, August 14, 2006",2.99,3.038,2.922,2.934,1387500,636468600,0.05837585,0.005351,16061530,275140000,0.435804,1.06468,0.016
"Tuesday, August 15, 2006",3.064,3.098,2.988,3.036,993500,657166000,0.05835252,0.005221,16061530,275250000,0.446769,1.09103,0.016
"Wednesday, August 16, 2006",3.094,3.122,3.08,3.096,812000,665423500,0.05835252,0.005171,16061530,275250000,0.451143,1.101712,0.016
