Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price
5/24/07,63.48,4.1078,1.85E+11,11036302,2.615,0,64.08,63.46,63.03,46.7742,56.1611,1.84E+11,-0.0347,0.6828,63.48
5/25/07,63.19,4.1151,1.85E+11,8492984,2.627,-0.4568,63.58,63.09,63.122,27.4882,54.8611,1.83E+11,-0.036,0.6816,63.19
5/29/07,63.05,4.0649,1.84E+11,10059446,2.6328,-0.6774,63.36,62.79,63.166,21.1679,54.2341,1.83E+11,-0.0356,0.682,63.05
5/30/07,63.22,4.0047,1.85E+11,10866580,2.6258,-0.4096,63.36,62.76,63.306,44.4373,54.8818,1.83E+11,-0.0358,0.6817,63.22
5/31/07,63.27,4.0035,1.85E+11,12162300,2.6237,-0.3308,63.55,62.97,63.328,50.8393,55.0753,1.83E+11,-0.0356,0.6817,63.27
6/1/07,63.41,4.0013,1.85E+11,10838778,2.6179,-0.1103,63.77,63.02,63.395,66.8712,55.6264,1.84E+11,-0.0353,0.6821,63.41
6/4/07,63.6,3.9556,1.86E+11,10090375,2.6101,0.189,63.67,63.01,63.413,80.0893,56.3776,1.84E+11,-0.0326,0.6813,63.6
6/5/07,63.31,3.9568,1.85E+11,11412712,2.622,-0.2678,63.55,63.02,63.392,41.8553,54.9098,1.83E+11,-0.0329,0.6816,63.31
6/6/07,62.9,3.9556,1.84E+11,11539619,2.6391,-0.9137,63.43,62.55,63.324,20.7987,52.8956,1.82E+11,-0.0333,0.6821,62.9
6/7/07,62,3.9556,1.81E+11,14247800,2.6774,-2.3314,62.9,61.99,63.143,7.8294,48.8283,1.80E+11,-0.035,0.685,62
6/8/07,62.13,3.9556,1.81E+11,13943784,2.6718,-2.1267,62.35,61.46,63.008,18.8,49.4095,1.80E+11,-0.0353,0.6836,62.13
6/11/07,62.27,3.9641,1.82E+11,9092196,2.6658,-1.9061,62.89,62.15,62.916,31.8946,50.0418,1.80E+11,-0.0349,0.683,62.27
6/12/07,61.83,3.9641,1.81E+11,11921464,2.6848,-2.5992,62.41,61.76,62.794,18.1194,48.088,1.79E+11,-0.0351,0.6834,61.83
6/13/07,62.18,3.9641,1.82E+11,14816600,2.6697,-2.0479,62.26,61.32,62.69,45.9652,49.7039,1.80E+11,-0.0355,0.6825,62.18
6/14/07,62.45,3.9641,1.82E+11,9093373,2.6581,-1.6226,62.61,62.18,62.608,61.2243,50.923,1.81E+11,-0.0352,0.6827,62.45
6/15/07,62.77,3.9641,1.83E+11,16817024,2.6446,-1.1185,63.12,62.57,62.544,74.1845,52.3394,1.82E+11,-0.034,0.6834,62.77
6/18/07,62.33,4.0078,1.82E+11,8511087,2.6632,-1.8116,62.9,62.23,62.417,43.9128,50.2755,1.81E+11,-0.0352,0.6837,62.33
6/19/07,62.42,4.0054,1.82E+11,11403145,2.6594,-1.6698,62.67,62.2,62.328,50.1536,50.687,1.81E+11,-0.035,0.6837,62.42
6/20/07,62.04,4.0154,1.81E+11,11430474,2.6757,-2.2684,62.84,61.99,62.242,29.4207,48.9189,1.80E+11,-0.0347,0.6831,62.04
6/21/07,62.11,4.0136,1.81E+11,10370659,2.6727,-2.1582,62.34,61.79,62.253,36.6562,49.2562,1.80E+11,-0.0352,0.6829,62.11
6/22/07,60.73,4.1402,1.77E+11,22063856,2.7334,-4.3321,61.98,60.73,62.113,9.0924,43.4101,1.76E+11,-0.0371,0.6892,60.73
6/25/07,61.11,4.1588,1.78E+11,12967700,2.7164,-3.7335,61.51,60.97,61.997,30.6361,45.2608,1.77E+11,-0.0367,0.689,61.11
6/26/07,61.65,4.1436,1.80E+11,13908392,2.6926,-2.8828,61.96,61.32,61.979,53.9157,47.7717,1.79E+11,-0.0344,0.6877,61.65
6/27/07,61.45,4.1489,1.79E+11,14158216,2.7014,-3.1979,61.53,61.07,61.906,45.4428,46.9466,1.78E+11,-0.0358,0.6856,61.45
6/28/07,61.5,4.1476,1.80E+11,9515792,2.6992,-3.1191,61.84,61.2,61.811,48.479,47.1825,1.78E+11,-0.0358,0.6851,61.5
6/29/07,61.62,4.0984,1.79E+11,12025791,2.6939,-2.9301,61.94,61.21,61.696,57.0783,47.7593,1.78E+11,-0.0343,0.6846,61.62
7/2/07,61.85,4.2459,1.80E+11,8105026,2.6839,-2.5677,62,61.38,61.648,70.9961,48.8664,1.79E+11,-0.0317,0.6842,61.85
