Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Free Cash Flow,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
5/30/2006,59.85,9.2414,1.63E+11,7840900,2.5063,-1.3841,60.55,59.82,60.206,16.9014,64.3979,1.77E+11,0.0035,0.7132,59.85,17.608,0.0094,18.1206,3.6005,,,,,,,,
5/31/2006,60.22,9.2249,1.64E+11,8260300,2.4909,-0.7744,60.28,59.88,60.203,40.2532,66.0965,1.78E+11,0.0038,0.7136,60.22,17.5852,0.0087,18.0973,3.5958,,,,,,,,
6/1/2006,60.65,9.2059,1.65E+11,5661900,2.4732,-0.0659,60.7,60.21,60.255,59.898,67.9356,1.80E+11,0.0038,0.7136,60.65,17.6278,0.01,18.1411,3.6045,,,,,,,,
6/2/2006,60.74,9.2018,1.65E+11,6666600,2.4695,0.0824,61.01,60.45,60.315,63.6504,68.3078,1.80E+11,0.0027,0.7131,60.74,17.7727,0.0126,18.2902,3.6342,,,,,,,,
6/5/2006,60.13,9.285,1.64E+11,6921900,2.4946,-0.9227,60.5,60.09,60.338,32.6196,63.1663,1.78E+11,0.0023,0.7183,60.13,17.875,0.0127,18.3955,3.6551,,,,,,,,
6/6/2006,60.94,9.2338,1.66E+11,10568900,2.4614,0.4119,61.25,60.36,60.446,65.8148,66.6179,1.80E+11,0.0051,0.7177,60.94,17.7699,0.0135,18.2873,3.6336,,,,,,,,
6/7/2006,61.17,9.2239,1.67E+11,9507400,2.4522,0.7909,61.69,61.01,60.563,71.7439,67.5121,1.81E+11,0.0066,0.7163,61.17,17.8068,0.0146,18.3253,3.6411,,,,,,,,
6/8/2006,61.56,9.2071,1.68E+11,12528800,2.4366,1.4335,61.75,61.04,60.64,80.3933,68.9702,1.82E+11,0.007,0.7163,61.56,17.9403,0.0152,18.4627,3.6684,,,,,,,,
6/9/2006,61.38,9.2148,1.67E+11,8621900,2.4438,1.1369,61.68,61.32,60.733,66.3355,67.5233,1.82E+11,0.0066,0.7169,61.38,17.9205,0.0142,18.4422,3.6644,,,,,,,,
6/12/2006,61.38,9.2617,1.67E+11,6507600,2.4438,1.1369,61.66,61.34,60.802,66.3355,67.5233,1.82E+11,0.0066,0.7151,61.38,18.0483,0.0162,18.5738,3.6905,,,,,,,,
6/13/2006,61.05,9.276,1.66E+11,12088400,2.457,0.5932,61.69,61.01,60.922,38.5378,64.8539,1.81E+11,0.0067,0.7149,61.05,17.9744,0.0165,18.4978,3.6754,,,,,,,,
6/14/2006,61.25,9.2674,1.67E+11,8972700,2.449,0.9227,61.38,60.96,61.025,55.4929,65.7039,1.81E+11,0.0068,0.715,61.25,18.0568,0.0184,18.5826,3.6923,,,,,,,,
6/15/2006,61.47,9.2579,1.68E+11,8863400,2.4402,1.2852,61.51,60.92,61.107,69.4145,66.6225,1.82E+11,0.0086,0.7125,61.47,17.9886,0.018,18.5124,3.6783,,,,,,,,
6/16/2006,61.68,9.2489,1.68E+11,11648700,2.4319,1.6312,61.75,61.3,61.201,78.8755,67.4826,1.83E+11,0.011,0.7121,61.68,18.054,0.0187,18.5797,3.6917,,,,,,,,
6/19/2006,61.35,9.4792,1.67E+11,9990600,2.445,1.0875,61.68,61.32,61.323,45.6157,64.7695,1.82E+11,0.0128,0.7128,61.35,18.0313,0.0125,18.5563,3.687,,,,,,,,
6/20/2006,61.53,9.4713,1.68E+11,6928400,2.4378,1.3841,61.7,61.2082,61.382,59.5658,65.551,1.82E+11,0.0134,0.7128,61.53,18.1563,0.0243,18.6849,3.7126,,,,,,,,
6/21/2006,61.79,9.4599,1.69E+11,7099300,2.4276,1.8125,61.9,61.5,61.444,74.0101,66.6562,1.83E+11,0.0131,0.7124,61.79,18.2983,0.0242,18.8311,3.7416,,,,,,,,
6/22/2006,61.18,9.4867,1.67E+11,8362900,2.4518,0.8074,62,60.92,61.406,32.7888,61.8409,1.81E+11,0.0118,0.7136,61.18,18.3551,0.0242,18.8896,3.7533,,,,,,,,
6/23/2006,61.32,9.4805,1.67E+11,5004600,2.4462,1.0381,61.74,61,61.4,43.6026,62.4844,1.82E+11,0.0123,0.7135,61.32,18.2472,0.0188,18.7785,3.7312,,,,,,,,
6/26/2006,60.21,9.7387,1.64E+11,15467400,2.4913,-0.7909,60.26,59.5,61.283,14.9658,54.8925,1.78E+11,0.0097,0.7079,60.21,18.3011,0.0194,18.834,3.7422,,,,,,,,
6/27/2006,59.55,9.7687,1.62E+11,10361900,2.5189,-1.8784,60.26,59.51,61.133,9.4376,51.0754,1.76E+11,0.0085,0.7096,59.55,18.2585,0.0194,18.7902,3.7335,,,,,,,,
6/28/2006,59.23,9.784,1.61E+11,9491000,2.5325,-2.4057,59.58,58.97,60.931,7.4391,49.3541,1.75E+11,0.0068,0.7083,59.23,18.2273,0.0183,18.758,3.7271,,,,,,,,
