Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta
5/24/2007,50.49,15.9688,35523907584,2979200,0.4951,0,51.18,50.48,49.871,44.0476,70.4612,27114508288,0.1076,0.9303
5/25/2007,50.95,15.9083,35770941440,1255000,0.4907,0.9111,51.03,50.67,50.11,69.281,71.7791,27361540096,0.1082,0.9309
5/29/2007,51.02,15.8889,35808530432,1423800,0.49,1.0497,51.4,50.72,50.347,72.1481,71.9759,27399131136,0.1011,0.9341
5/30/2007,51.1,15.7244,35851493376,2043100,0.4892,1.3319,51.19,50.62,50.553,75.9898,72.2051,27442094080,0.0999,0.9325
5/31/2007,51.03,15.734,35813900288,1554200,0.4899,1.1931,51.5,50.91,50.697,64.3417,71.6745,27404503040,0.0994,0.9325
6/1/2007,51.02,15.7356,35808530432,1772905,0.49,1.1733,51.34,50.88,50.816,62.2955,71.5968,27399131136,0.0999,0.9343
6/4/2007,52.35,15.3379,36522778624,2090813,0.4776,3.8107,52.36,51.12,51.042,94.8663,75.2854,28113377280,0.103,0.9339
6/5/2007,51.54,15.5966,36087787520,2218000,0.4851,2.2045,52.49,51.44,51.137,53.0231,69.5915,27678386176,0.1005,0.9362
6/6/2007,51.5,15.5936,36066304000,2757800,0.4854,2.1252,51.8,51.22,51.196,51.3455,69.3237,27656904704,0.1019,0.9342
6/7/2007,50.01,16.2709,35266134016,2758300,0.4999,-0.8295,51.5,49.96,51.101,18.551,60.3701,26856734720,0.0989,0.9425
6/8/2007,50.87,16.1469,35727978496,2200700,0.4914,0.8759,50.87,49.66,51.139,47.5528,63.2074,27318577152,0.0983,0.9453
6/11/2007,51.61,16.0203,36125376512,1968286,0.4844,2.3433,51.7,50.76,51.205,64.067,65.4117,27715977216,0.0985,0.9453
6/12/2007,51,16.1085,35797790720,2057700,0.4902,1.1336,51.61,51,51.203,46.1134,62.2323,27388391424,0.0978,0.9463
6/13/2007,52.14,16.0993,36410003456,2484000,0.4795,3.3943,52.15,51.36,51.307,69.821,65.4765,28000602112,0.099,0.9498
6/14/2007,52.93,15.9892,36834254848,2863000,0.4723,4.9609,53.03,52.14,51.497,79.2915,67.4791,28424853504,0.0991,0.9506
6/15/2007,52.85,15.7596,36791291904,2334700,0.473,4.8022,53.46,52.79,51.68,75.6838,67.0715,28381892608,0.0969,0.9488
6/18/2007,52.9,15.6765,36818145280,1417300,0.4726,4.9014,53.38,52.82,51.735,76.6786,67.1996,28408743936,0.0987,0.9491
6/19/2007,53.01,15.6611,36877217792,1532900,0.4716,5.1195,53.26,52.78,51.882,79.4525,67.4874,28467816448,0.0986,0.949
6/20/2007,51.7,16.1507,36173709312,1490879,0.4836,2.5218,53.46,51.69,51.902,25.4266,60.9032,27764310016,0.0956,0.9549
6/21/2007,52.43,16.0447,36565741568,1771700,0.4768,3.9694,52.43,51.52,52.144,52.4519,62.985,28156340224,0.0982,0.9557
6/22/2007,52.07,16.0963,36372410368,2299942,0.4801,3.2555,52.57,51.88,52.264,41.3634,61.3193,27963011072,0.0979,0.954
6/25/2007,52.15,16.0642,36415373312,1685547,0.4794,3.4141,52.83,51.84,52.318,45.2234,61.553,28005971968,0.0977,0.9548
6/26/2007,51.19,16.5259,35899826176,3258224,0.4884,1.5104,52.35,51.02,52.337,20.6979,57.2579,27490426880,0.0943,0.9567
6/27/2007,51.45,16.4874,36039454720,1930814,0.4859,2.026,51.49,50.68,52.268,35.0152,58.0775,27630053376,0.0935,0.9555
6/28/2007,50.8,16.5891,35690385408,2090000,0.4921,0.737,51.46,50.7,52.055,20.8793,55.3334,27280986112,0.0947,0.9618
6/29/2007,50.98,16.5604,35895951360,1849229,0.4904,1.094,51.4575,50.63,51.868,32.2419,55.9299,27377651712,0.0955,0.9616
7/2/2007,52,16.446,36443717632,1583300,0.4808,3.1167,52.06,51.25,51.778,69.4879,59.1295,27925417984,0.0971,0.9653
7/3/2007,52.39,16.3857,36653158400,567800,0.4772,3.89,52.88,52.2,51.716,76.8015,60.2704,28134858752,0.0977,0.9657
7/5/2007,51.87,16.4662,36373905408,1241700,0.482,2.8589,52.64,51.56,51.733,51.9142,58.0358,27855605760,0.0955,0.9657
7/6/2007,52.06,16.4365,36475940864,961300,0.4802,3.2356,52.16,51.62,51.696,59.1664,58.6158,27957641216,0.0939,0.9676
7/9/2007,52.01,16.4132,36449087488,1151600,0.4807,3.1365,52.24,51.74,51.69,55.8419,58.3961,27930789888,0.0927,0.9703
7/10/2007,50.81,16.8792,35804655616,2385200,0.492,0.7569,51.84,50.75,51.556,18.4738,53.4244,27286355968,0.0903,0.9751
7/11/2007,51.03,16.8426,35922800640,1428200,0.4899,1.1931,51.2,50.42,51.54,31.1448,54.1645,27404503040,0.0899,0.9748
7/12/2007,51.67,16.7361,36266500096,1289200,0.4838,2.4623,51.74,51.03,51.562,58.971,56.2563,27748200448,0.0881,0.9707
7/13/2007,51.86,16.5214,36368535552,957203,0.4821,2.839,51.97,51.47,51.668,65.2285,56.8609,27850235904,0.09,0.9708
7/16/2007,51.09,16.8027,35955023872,1459000,0.4893,1.3121,51.89,51.09,51.679,33.8474,53.7465,27436724224,0.0868,0.9724
7/17/2007,50.71,16.8676,35750952960,1630100,0.493,0.5586,51.12,50.6,51.55,24.9588,52.2844,27232653312,0.0852,0.9726
7/18/2007,50.61,16.8848,35697250304,2464743,0.494,0.3603,50.71,50.03,51.372,22.6145,51.9001,27178950656,0.085,0.9726
7/19/2007,51.14,16.7984,35981877248,1274400,0.4889,1.4113,51.34,50.82,51.299,55.6964,53.7636,27463575552,0.0862,0.9735
7/20/2007,51.12,16.8012,35971133440,2994600,0.489,1.3716,51.18,50.3,51.205,54.3805,53.6824,27452833792,0.0879,0.9689
7/23/2007,51.63,17.062,36245016576,1874700,0.4842,2.3829,52.73,51.23,51.167,76.0364,55.4568,27726718976,0.0845,0.9667
7/24/2007,50.33,17.5731,35546882048,2519948,0.4967,-0.195,51.41,50.22,51.119,27.0106,50.3686,27028582400,0.0828,0.9711
7/25/2007,50.71,17.5039,35750952960,3119563,0.493,0.5586,50.9,49.73,51.087,43.0973,51.7084,27232653312,0.0832,0.9714
7/26/2007,49.48,18.1254,35090411520,3329163,0.5053,-1.8805,50.63,48.75,50.868,20.8191,47.4219,26572109824,0.0822,0.9733
7/27/2007,47.6,19.2786,34080798720,3070292,0.5252,-5.6086,49.66,47.6,50.442,9.5275,41.9263,25562499072,0.077,0.9846
7/30/2007,46.75,20.3558,33624326144,6193815,0.5348,-7.2942,46.91,42.35,50.008,6.9654,39.7707,25106024448,0.072,0.9764
7/31/2007,47.4,20.2073,33973393408,3268700,0.5274,-6.0052,48.69,46.75,49.677,28.8977,42.1247,25455093760,0.0776,0.9667
8/1/2007,47.54,20.2135,33961211904,3826500,0.5259,-5.7276,47.74,46.43,49.37,33.9298,42.6243,25442912256,0.0767,0.9658
8/2/2007,47.36,20.2764,33864878080,2767211,0.5279,-6.0845,48.12,46.71,48.992,29.8549,42.1404,25346578432,0.0757,0.9655
8/3/2007,44.95,22.3295,32575072256,4452100,0.5562,-10.8636,47.39,44.81,48.375,8.75,36.4148,24056770560,0.0697,0.9856
8/6/2007,46.21,23.8278,33249411072,4766942,0.541,-8.365,46.31,44.28,47.833,41.2951,40.7675,24731109376,0.0685,0.9893
8/7/2007,45.69,23.9761,32971112448,3781000,0.5472,-9.3962,46.42,45.09,47.369,33.8266,39.6099,24452810752,0.0651,0.9864
8/8/2007,45.97,23.8977,33120964608,3569100,0.5438,-8.8409,46.31,45.01,46.895,42.261,40.5502,24602664960,0.0637,0.9833
8/9/2007,43.62,25.7537,31863269376,5276252,0.5731,-13.501,45.76,43.62,46.309,16.2254,35.7211,23344969728,0.0595,1.0027
8/10/2007,44.3,25.8084,32227198976,4393223,0.5643,-12.1525,44.74,42.45,45.979,33.9004,37.9337,23708897280,0.0598,1.0034
8/13/2007,45.7,27.1143,32976463872,3153300,0.547,-9.3763,47.2,45.57,45.874,59.9775,42.173,24458164224,0.065,1.0025
8/14/2007,44.2,28.0386,32173678592,3678400,0.5656,-12.3508,46.68,44.17,45.554,36.7051,39.205,23655378944,0.0616,1.0099
8/15/2007,44.82,27.82,32505497600,4177194,0.5578,-11.1214,46.14,44.18,45.282,48.9793,40.981,23987195904,0.0675,0.9997
8/16/2007,44.59,27.8889,32382402560,4622063,0.5607,-11.5775,44.96,42.59,45.005,44.2088,40.5267,23864102912,0.0576,1.0112
8/17/2007,46.45,28.3513,33377855488,3897200,0.5382,-7.8891,47.75,45.16,45.155,74.425,45.5746,24859555840,0.0635,1.0213
8/20/2007,45.78,29.846,33019279360,2285600,0.5461,-9.2177,46.78,45.23,45.112,57.5762,44.1773,24500979712,0.0583,1.0218
8/21/2007,45.69,29.877,32971112448,1908400,0.5472,-9.3962,46.04,45.01,45.112,55.0644,43.9899,24452810752,0.0576,1.0217
8/22/2007,47.38,30.0284,33875582976,2527400,0.5276,-6.0449,47.49,46,45.253,79.8384,48.2542,25357281280,0.062,1.0287
8/23/2007,47.27,30.0683,33816711168,2353900,0.5289,-6.263,48.19,46.8,45.618,75.7605,48.0081,25298411520,0.058,1.0305
8/24/2007,48.25,29.7276,34341197824,2096300,0.5181,-4.3196,48.37,47.11,46.013,85.5939,50.3422,25822896128,0.0586,1.0335
8/27/2007,47.62,31.1593,34004027392,1361030,0.525,-5.5689,48.2499,47.62,46.205,61.5257,48.8828,25485727744,0.0611,1.0354
8/28/2007,46.02,32.3783,33147723776,2374900,0.5432,-8.7418,47.56,45.99,46.387,29.7053,45.4231,24629424128,0.0589,1.041
8/29/2007,47.05,31.9819,33698969600,2649900,0.5313,-6.6993,47.06,45.9,46.61,53.1184,47.8797,25180669952,0.0587,1.0403
8/30/2007,46.03,32.8671,33153075200,2266500,0.5431,-8.598,46.93,45.94,46.754,35.5365,45.7692,24634775552,0.0565,1.0416
8/31/2007,47.01,32.7428,33677561856,2819400,0.5318,-6.652,47.31,46.24,46.81,56.3558,48.0453,25159262208,0.0584,1.0443
9/4/2007,47.76,33.7638,34078953472,2965000,0.5235,-5.1627,48.16,46.17,47.008,68.1603,49.7162,25560653824,0.0597,1.0451
9/5/2007,47.2,33.9829,33779247104,2095900,0.5297,-6.2747,47.49,46.98,47.159,52.3132,48.5111,25260947456,0.0597,1.0451
9/6/2007,46.6,34.2722,33458135040,2311700,0.5365,-7.4661,47.45,46.16,47.081,38.0832,47.242,24939833344,0.0563,1.0434
9/7/2007,46.02,34.7959,33147723776,1904600,0.5432,-8.6178,46.69,45.95,46.956,27.311,46.0375,24629424128,0.0571,1.0413
9/10/2007,45.63,36.4609,32938999808,2512700,0.5479,-9.3923,46.55,45.26,46.694,21.2488,45.2353,24420700160,0.048,1.0379
9/11/2007,45.82,36.3785,33040687104,1773600,0.5456,-9.015,46.03,45.24,46.514,32.2401,45.712,24522385408,0.0461,1.0345
9/12/2007,45.48,36.5306,32858722304,1270800,0.5497,-9.6901,45.82,45.28,46.46,23.4536,44.987,24340422656,0.0445,1.0346
9/13/2007,45.55,36.506,32896184320,1708200,0.5488,-9.5511,45.98,45.35,46.31,29.3959,45.1722,24377884672,0.0445,1.0318
9/14/2007,45.57,36.4974,32906889216,1579800,0.5486,-9.5114,45.79,45.21,46.264,31.6693,45.2267,24388589568,0.0438,1.032
9/17/2007,45.53,37.6262,32885481472,2014100,0.5491,-9.5908,45.68,45.13,46.116,28.8796,45.1339,24367181824,0.0444,1.0322
9/18/2007,46.9,37.3998,33618692096,2580500,0.533,-6.8704,46.98,45.44,46.03,87.1288,48.8533,25100390400,0.0442,1.0315
9/19/2007,47.34,37.2058,33854175232,2707300,0.5281,-5.9967,47.49,47.04,46.044,90.7704,49.9799,25335873536,0.0447,1.0319
9/20/2007,46.84,37.4146,33586579456,1411300,0.5337,-6.9896,47.38,46.79,46.068,61.2375,48.7184,25068279808,0.0412,1.035
9/21/2007,47.62,37.0707,34004027392,3782500,0.525,-5.4407,47.74,46.08,46.228,77.9926,50.7255,25485727744,0.0453,1.0341
9/24/2007,47.64,37.3006,34014732288,3231800,0.5248,-5.401,47.85,47.42,46.429,78.3525,50.7766,25496430592,0.0491,1.0334
9/25/2007,47.44,37.3851,33907693568,2632600,0.527,-5.7981,47.54,47.1,46.591,62.9187,50.2376,25389393920,0.0482,1.0335
9/26/2007,47.86,37.2053,34132473856,3941900,0.5224,-4.9641,47.9,47.14,46.829,77.1171,51.3592,25614172160,0.0488,1.0338
9/27/2007,48.25,37.0448,34341197824,2049800,0.5181,-4.1897,48.26,47.82,47.099,85.0763,52.39,25822896128,0.0479,1.0342
9/28/2007,48.35,37.0042,36633915392,2633800,0.5171,-3.9912,49.1,48.15,47.377,86.8372,52.6561,25876416512,0.049,1.0338
10/1/2007,49.15,36.9356,37062066176,2434500,0.5086,-2.4026,49.22,48.37,47.739,94.5516,54.7495,26304567296,0.0482,1.0343
10/2/2007,49.13,36.9432,37051363328,2381700,0.5089,-2.4423,49.29,48.8,47.962,92.5183,54.6869,26293864448,0.048,1.0343
10/3/2007,49.21,36.9123,37094178816,1589900,0.508,-2.2834,49.31,48.87,48.149,93.3733,54.9001,26336679936,0.0493,1.0336
10/4/2007,49.59,36.6669,37297549312,1434500,0.5041,-1.5289,49.65,49.12,48.424,96.3475,55.919,26540050432,0.0522,1.0316
10/5/2007,49.67,36.6376,37340364800,1327300,0.5033,-1.37,50,49.27,48.629,96.8009,56.1348,26582865920,0.0473,1.0349
10/8/2007,49.15,36.7681,37062066176,1069497,0.5086,-2.4026,49.85,49.11,48.78,43.7945,54.3456,26304567296,0.0471,1.0324
10/9/2007,49.61,36.5891,37308256256,1768500,0.5039,-1.4892,49.77,49.17,48.997,67.4473,55.6395,26550755328,0.0472,1.0325
10/10/2007,49.54,36.6171,37270790144,1271200,0.5046,-1.6282,49.78,49.07,49.165,61.5362,55.3924,26513291264,0.0472,1.0325
10/11/2007,50.05,36.4134,37543739392,2132800,0.4995,-0.6155,50.65,49.64,49.345,80.3533,56.8374,26786238464,0.0519,1.03
10/12/2007,50.12,36.3888,37581201408,1091900,0.4988,-0.4765,50.29,49.76,49.522,82.1511,57.035,26823702528,0.0514,1.0294
10/15/2007,49.46,35.9797,37227974656,1521700,0.5055,-1.787,50.52,49.17,49.553,35.8092,54.5969,26470475776,0.0453,1.0305
10/16/2007,49.35,36.02,37169106944,1606700,0.5066,-2.0054,49.6,48.92,49.575,31.3833,54.1975,26411606016,0.0462,1.0298
10/17/2007,49.6,35.9206,37302902784,2410400,0.504,-1.509,50.03,49.2,49.614,51.7243,54.972,26545403904,0.0468,1.0299
10/18/2007,49.85,35.831,37436698624,1488600,0.5015,-1.0126,50.1,48.91,49.64,66.5835,55.7461,26679199744,0.0494,1.0279
10/19/2007,48.84,36.4961,36896157696,2747500,0.5119,-3.0182,49.61,48.83,49.557,23.2382,52.0091,26138658816,0.0496,1.0219
10/22/2007,49.76,34.8041,37388533760,2601500,0.5024,-1.1913,49.83,48.25,49.618,59.374,54.8605,26631032832,0.0539,1.0144
10/23/2007,50.05,34.6956,37543739392,2280100,0.4995,-0.6155,50.11,49.39,49.662,66.7704,55.7185,26786238464,0.0532,1.0137
10/24/2007,50.3,34.6013,37677535232,2656356,0.497,-0.119,50.43,46.69,49.738,73.1026,56.4565,26920036352,0.0546,1.0132
10/25/2007,49.8,34.785,37409939456,3238100,0.502,-1.1119,50.48,49.39,49.713,46.5124,54.5746,26652440576,0.0536,1.0132
10/26/2007,50.03,34.6994,37533032448,2337400,0.4997,-0.6552,50.55,49.5,49.704,57.2434,55.2839,26775533568,0.0526,1.0097
10/29/2007,48.96,38.87,36960382976,3087700,0.5106,-2.7799,49.57,47.8,49.654,23.8512,51.4198,26202882048,0.046,1.0006
10/30/2007,47.97,39.3168,36430544896,2064100,0.5212,-4.7457,49,47.93,49.516,13.1805,48.1955,25673043968,0.043,1.003
10/31/2007,49.09,39.3549,36755582976,2328700,0.5093,-2.5217,49.26,48.25,49.465,50.6484,51.7373,25998084096,0.045,1.0059
11/1/2007,48.08,39.7186,36220686336,2643000,0.52,-4.5273,49.18,47.69,49.288,31.9798,48.6353,25463187456,0.0425,1.0041
11/2/2007,47.61,39.9335,35971776512,3288900,0.5251,-5.4606,48.17,46.87,49.165,25.4356,47.271,25214275584,0.041,1.0049
11/5/2007,47.23,38.6057,35770527744,2246513,0.5293,-6.2151,47.64,46.76,48.912,20.3782,46.1873,25013026816,0.0428,1.0057
11/6/2007,47.55,38.4631,35939999744,3489500,0.5258,-5.5797,47.6,46.49,48.662,36.3613,47.241,25182498816,0.0417,1.0042
