Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,SENTIMENT,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital,Mid Price,"CPSTAIRF Index : Airfare Index (U.S. BLS, Mth. rels) 291.74","CONSSENT Index : U.S. Consumer Confidence (UofM, Mth. rels) 94.30","BRAIRNAV Index : Domestic Airline Traffic (RPMs) 53,854.70",ARTTNADM Index : USA Domestic 411.23 [Non-Premium / Premium DataNon-PremiumAverage Fare ($,,,,,Date,EHGDUS Index : United States 0.80 [GDP Quarterly Actual (YoY)],,,,News Sentiment - Daily Average,Twitter Sentiment Daily Average
6/15/06,16.14,47.2391,11975445504,4301200,0.1115,2.7011,16.23,15.57,15.642,82.4003,52.0846,12953445376,-0.0038,1.0987,16.14,15.5,25.5781,-0.1482,1.5447,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,,,,,,,,,,9/30/09,0.8,,,,,
6/16/06,16.3,46.9229,12103856128,4360500,0.1104,3.7192,16.4,16.02,15.691,85.6951,53.3831,13081856000,-0.0012,1.0969,16.3,16.14,25.7344,-0.1446,1.5542,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,,,,,,,,,,12/31/09,1.4,,,,,
6/19/06,16.3,46.5458,12103856128,2576800,0.1104,3.7192,16.49,16.22,15.749,85.6951,53.3831,13081856000,-0.0039,1.0925,16.3,16.3,25.9375,-0.1433,1.5664,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,,,,,,,,,,3/31/10,2,,,,,
6/20/06,16.3,46.5229,12103856128,3216800,0.1104,3.7192,16.34,16.17,15.807,85.6951,53.3831,13081856000,-0.0039,1.0925,16.3,16.3,26.4531,-0.137,1.5976,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,202.07,,,,,,,,,6/30/10,3.9,,,,,
6/21/06,16.43,46.2704,12208190464,2545300,0.1096,4.5465,16.56,16.23,15.872,90.5476,54.4923,13186190336,-0.0045,1.0916,16.43,16.3,26.5313,-0.1403,1.6023,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,202.24,,,,,,,,,9/30/10,0.6,,,,,
6/22/06,16.45,46.2332,12224241664,2258700,0.1094,4.6737,16.53,16.23,15.95,91.2339,54.664,13202241536,-0.0009,1.0915,16.45,16.43,27.1406,-0.1304,1.6391,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,197.48,,,,,,,,,12/31/10,2.1,,,,,
6/23/06,16.44,45.0076,12216215552,1979900,0.1095,4.6101,16.5,16.25,16.03,86.5228,54.5576,13194215424,-0.0022,1.0896,16.44,16.45,26.5313,-0.1374,1.6023,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,199.12,,,,,,,,,3/31/11,4.3,,,,,
6/26/06,16.47,44.6213,12240292864,1995400,0.1093,4.801,16.5,16.23,16.151,89.064,54.8306,13218292736,-0.0146,1.1021,16.47,16.44,26.5156,-0.1387,1.6014,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,199.96,,,,,,,,,6/30/11,4.6,,,,,
6/27/06,16.17,45.1898,11999522816,2138800,0.1113,2.892,16.45,16.1,16.25,23.2646,51.6222,12977522688,-0.0161,1.1042,16.17,16.47,25.5469,-0.1281,1.5429,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,201.31,,,,,,,,,9/30/11,-0.9,,,,,
6/28/06,15.96,45.6044,11830983680,3173400,0.1128,1.5558,16.27,15.77,16.296,13.1014,49.5237,12808983552,-0.0198,1.1012,15.96,16.17,25.0625,-0.1254,1.5136,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,200.39,,,,,,,,,12/31/11,3.8,,,,,
6/29/06,16.16,45.2072,11991496704,3778600,0.1114,2.8284,16.18,15.96,16.298,46.4934,51.4674,12969496576,-0.0234,1.093,16.16,15.96,24.7656,-0.1177,1.4957,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,202.39,,,,,,,,,3/31/12,3,,,,,
6/30/06,16.37,44.8044,11983036416,2875200,0.11,4.1647,16.4416,16.06,16.305,66.667,53.4159,13138035712,-0.019,1.0927,16.37,16.16,24.9063,-0.1161,1.5042,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,200.12,,,,,,,,,6/30/12,1.1,,,,,
7/3/06,16.47,44.72,12063292416,1096900,0.1093,4.801,16.5,16.36,16.322,73.7393,54.3193,13218292736,-0.0131,1.0861,16.47,16.37,26.9375,-0.1491,1.6268,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,202.12,,,,,,,,,9/30/12,1.9,,,,,
7/5/06,16.6,44.4467,12167626752,3519500,0.1084,5.6282,16.77,16.42,16.352,81.4245,55.4805,13322627072,-0.0098,1.0824,16.6,16.47,26.9688,-0.1504,1.6287,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,205.01,,,,,,,,,12/31/12,0.1,,,,,
7/6/06,16.93,43.8474,12432474112,5625700,0.1063,7.728,17.02,16.62,16.402,91.2144,58.2661,13587474432,-0.0064,1.0836,16.93,16.6,26.7813,-0.1527,1.6174,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,211.87,,,,,,,,,3/31/13,0.5,,,,,
7/7/06,16.98,43.7564,12472602624,2942400,0.106,8.0462,17,16.61,16.455,92.1542,58.6715,13627602944,-0.0063,1.0808,16.98,16.93,27.25,-0.1404,1.6457,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,214.51,,,,,,,,,6/30/13,1.9,,,,,
7/10/06,17.37,43.4308,12785603584,5838300,0.1036,10.5278,17.53,16.95,16.548,96.5154,61.6749,13940603904,0.0034,1.0762,17.37,16.98,27.7656,-0.1388,1.6768,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,216.41,,,,,,,,,9/30/13,2.7,,,,,
7/11/06,16.98,44.1101,12472602624,3999600,0.106,8.0462,17.13,16.61,16.599,52.6318,57.3625,13627602944,-0.0018,1.0731,16.98,17.37,27.8906,-0.1358,1.6844,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,213.79,,,,,,,,,12/31/13,4.6,,,,,
7/12/06,16.97,43.4768,12464576512,2594100,0.1061,7.9826,17.11,16.86,16.679,51.7272,57.2563,13619576832,0.0006,1.0693,16.97,16.98,28.3594,-0.13,1.7127,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,209.08,,,,,,,,,3/31/14,0.8,,,,,
7/13/06,16.35,45.3751,11966984192,3088900,0.1101,4.0374,16.92,16.262,16.718,19.9073,51.1795,13121984512,-0.0019,1.078,16.35,16.97,28.3594,-0.1282,1.7127,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,214.06,,,,,,,,,6/30/14,2.9,,,,,
7/14/06,16.04,45.9759,11718189056,3838100,0.1122,2.0648,16.27,15.8456,16.706,13.6224,48.5161,12873188352,-0.0009,1.0782,16.04,16.35,28.1094,-0.1277,1.6976,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,215.34,,,,,,,,,9/30/14,-1.5,,,,,
7/17/06,15.85,46.082,11565701120,5357800,0.1136,0.8558,16.22,15.69,16.654,10.558,46.9664,12720700416,0.0044,1.0753,15.85,16.04,27.4063,-0.1325,1.6551,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,225.49,,,,,,,,,12/31/14,2.5,,,,,
7/18/06,15.94,45.9048,11637932032,4110800,0.1129,1.4285,16.04,15.66,16.601,22.8839,47.7837,12792932352,0.0051,1.0754,15.94,15.85,27.5781,-0.1326,1.6655,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,225.73,,,,,,,,,3/31/15,2.7,,,,,
7/19/06,17.24,42.3827,12681270272,10007300,0.1044,9.7006,17.48,16.8,16.665,80.6526,57.5572,13836270592,0.0157,1.1077,17.24,15.94,28.0625,-0.1223,1.6948,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,220.07,,,,,,,,,6/30/15,3.9,,,,,
7/20/06,17.26,42.3474,12697321472,8674700,0.1043,9.8279,17.37,16.9,16.698,80.9814,57.6832,13852321792,0.0149,1.1018,17.26,17.24,28.0781,-0.1276,1.6957,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,223.34,,,,,,,,,9/30/15,1.7,,,,,
7/21/06,17.14,43.1618,12318361600,5844400,0.105,9.0643,17.29,17.03,16.714,70.239,56.6391,13473360896,0.0164,1.0992,17.14,17.26,27.6406,-0.13,1.6693,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,222.51,,,,,,,,,12/31/15,3.9,,,,,
7/24/06,17.44,42.9848,12554184704,3855000,0.1032,10.9732,17.62,17.21,16.721,80.1255,58.5782,13709184000,0.0195,1.1015,17.44,17.14,27.1875,-0.1337,1.6419,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,218.65,,,,,,,,,3/31/16,1.3,,,,,
7/25/06,17.77,42.4338,12813589504,5488000,0.1013,13.0731,17.86,17.05,16.8,87.1622,60.584,13968589824,0.0217,1.1034,17.77,17.44,26.4063,-0.1395,1.5948,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,221.55,,,,,,,,,,,,,,,
7/26/06,17.85,42.2991,12876476416,5753400,0.1008,13.5821,17.95,17.63,16.888,88.6265,61.0569,14031475712,0.0227,1.1033,17.85,17.77,26.4688,-0.1371,1.5985,0,8.8452,529000000,0.6952,13.5974,4.8201,20.8627,222.49,,,,,,,,,,,,,,,
