Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Dividend Indicated Yld - Gross,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price1,Last Price2,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,SENTIMENT,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital,Mid Price,"CPSTAIRF Index : Airfare Index (U.S. BLS, Mth. rels) 291.74","CONSSENT Index : U.S. Consumer Confidence (UofM, Mth. rels) 94.30","BRAIRNAV Index : Domestic Airline Traffic (RPMs) 53,854.70",ARTTNADM Index : USA Domestic 411.23 [Non-Premium / Premium DataNon-PremiumAverage Fare ($
7/31/09,7.85,661.7424,7005362176,7634352,0.2293,-49.8164,7.89,7.67,7.385,93.2748,60.4309,5820362240,-0.0365,0.9182,7.85,7.73,40.3571,0.0644,0.6186,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,195.64,252.107,66,44944.3984,389
8/3/09,8.36,625.1694,7383500288,13911773,0.2153,-46.5561,8.38,7.85,7.491,97.8656,64.6801,6198500352,-0.0281,0.9207,8.36,7.85,40.5391,0.0735,0.6214,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,199.82,252.107,66,44944.3984,389
8/4/09,8.72,597.4604,7650421248,12614811,0.2064,-44.2547,8.75,8.3,7.676,98.7611,67.2483,6465421312,-0.0178,0.9218,8.72,8.36,40.994,0.0738,0.6284,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,197.67,252.107,66,44944.3984,389
8/5/09,9.03,572.4598,7880269824,10690861,0.1993,-42.2729,9.08,8.57,7.887,99.1965,69.2407,6695269888,-0.0103,0.9215,9.03,8.72,42.0405,0.0794,0.6444,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,195.22,252.107,66,44944.3984,389
8/6/09,9.15,564.5182,7969243648,10220884,0.1967,-41.5058,9.19,8.77,8.089,99.3327,69.9722,6784243712,-0.0066,0.9213,9.15,9.03,41.3125,0.0758,0.6333,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,196.47,252.107,66,44944.3984,389
8/7/09,9.11,555.7624,7939585536,8934689,0.1976,-41.7615,9.34,9.05,8.255,91.5726,69.4031,6754585600,-0.0112,0.9206,9.11,9.15,39.5836,0.0834,0.6068,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,193.55,252.107,66,44944.3984,389
8/10/09,8.87,578.142,7761638400,7146392,0.2029,-43.2958,9.12,8.83,8.4,53.7683,66.0677,6576638464,-0.0217,0.9217,8.87,9.11,40.1296,0.0833,0.6151,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,191.59,252.107,66,44944.3984,389
8/11/09,8.91,571.9056,7791296000,7569462,0.202,-43.0401,9.04,8.76,8.54,58.0935,66.3465,6606296064,-0.0157,0.9212,8.91,8.87,38.4916,0.0694,0.59,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,192.78,252.107,66,44944.3984,389
8/12/09,9.01,564.9879,7865440768,6991523,0.1998,-42.4008,9.14,8.87,8.674,68.9771,67.0469,6680440832,-0.0155,0.9213,9.01,8.91,38.6281,0.0679,0.5921,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,188.35,252.107,66,44944.3984,389
8/13/09,9.24,549.6818,8035973632,7822228,0.1948,-40.9304,9.26,8.87,8.825,83.6377,68.6016,6850973696,-0.0116,0.9217,9.24,9.01,39.4926,0.0651,0.6054,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,185.9,252.107,66,44944.3984,389
8/14/09,9.08,560.1819,7917342208,14224521,0.1982,-41.9533,9.11,8.82,8.948,56.0153,66.3489,6732342272,-0.0144,0.9221,9.08,9.24,38.5371,0.0588,0.5907,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,190,252.107,66,44944.3984,389
8/17/09,8.7,596.5019,7635592192,10847823,0.2069,-44.3826,8.95,8.65,8.982,25.7357,61.3956,6450592256,-0.0066,0.9246,8.7,9.08,39.4926,0.0696,0.6054,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,195.37,252.107,66,44944.3984,389
8/18/09,8.82,583.1131,7724566016,13566606,0.2041,-43.6154,8.89,8.69,8.992,40.875,62.3147,6539566080,-0.0065,0.9247,8.82,8.7,39.1286,0.0659,0.5998,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,191.52,252.107,66,44944.3984,389
8/19/09,8.46,614.7537,7457645056,13166870,0.2128,-45.9168,8.61,8.32,8.935,21.3184,58.0273,6272645120,-0.0159,0.9238,8.46,8.82,38.4461,0.059,0.5893,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,193.49,252.107,66,44944.3984,389
8/20/09,8.49,612.3414,7479888384,8058673,0.212,-45.725,8.56,8.4199,8.869,25.7585,58.2748,6294888448,-0.0171,0.9236,8.49,8.46,38.7191,0.0613,0.5935,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,195.34,252.107,66,44944.3984,389
8/21/09,8.68,597.5829,7620763136,15447843,0.2074,-44.5104,8.82,8.55,8.826,51.6687,59.8267,6435763200,-0.0181,0.9239,8.68,8.49,37.2177,0.0575,0.5705,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,188.59,252.107,66,44944.3984,389
8/24/09,8.47,627.5456,7465059328,12373469,0.2125,-45.8529,8.88,8.46,8.786,32.7306,57.3863,6280059392,-0.0221,0.9236,8.47,8.68,36.4897,0.0568,0.5593,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,189.2,252.107,66,44944.3984,389
8/25/09,8.68,610.8661,7620763136,9842720,0.2074,-44.5104,8.76,8.51,8.763,56.5946,59.1117,6435763200,-0.0154,0.9235,8.68,8.47,36.9902,0.0622,0.567,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,189.67,252.107,66,44944.3984,389
8/26/09,8.6,617.3549,7561447424,7620052,0.2093,-45.0218,8.78,8.55,8.722,47.0557,58.1833,6376447488,-0.0172,0.9235,8.6,8.68,38.2641,0.0695,0.5865,-0.3788,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,189.91,252.107,66,44944.3984,389
8/27/09,8.45,629.5865,7450230272,6805098,0.213,-45.9808,8.66,8.3,8.643,31.9229,56.4632,6265230336,-0.0211,0.9233,8.45,8.6,39.1286,0.0719,0.5998,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,181.92,252.107,66,44944.3984,389
8/28/09,8.51,619.2543,7494717440,6243145,0.2115,-45.5972,8.61,8.42,8.586,42.9341,56.9894,6309717504,-0.0205,0.9237,8.51,8.45,39.3561,0.0771,0.6033,0.5116,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,177.14,252.107,66,44944.3984,389
8/31/09,8.18,671.1681,7250039808,8388220,0.22,-47.7068,8.52,8.17,8.534,18.3919,53.3228,6065039872,-0.0232,0.9245,8.18,8.51,40.0841,0.0802,0.6144,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,176.3,254.411,65.7,43707.6016,374
9/1/09,8.02,686.881,7131407872,10709633,0.2244,-48.7009,8.33,7.91,8.454,12.9911,51.6559,5946407936,-0.0239,0.9244,8.02,8.18,42.086,0.0904,0.6451,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,172.25,254.411,65.7,43707.6016,374
9/2/09,8.13,672.356,7212967424,10651256,0.2214,-47.9973,8.17,7.86,8.421,33.2153,52.7074,6027967488,-0.0205,0.9242,8.13,8.02,42.4955,0.0932,0.6514,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,170.3,254.411,65.7,43707.6016,374
9/3/09,8.41,647.1818,7420572672,9879670,0.214,-46.2063,8.43,8.05,8.413,64.6172,55.2691,6235572736,-0.0151,0.9249,8.41,8.13,43.4055,0.1162,0.6654,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,176.5,254.411,65.7,43707.6016,374
9/4/09,8.6,631.0836,7561447424,7310753,0.2093,-44.991,8.61,8.13,8.405,76.0699,56.9077,6376447488,-0.0129,0.9253,8.6,8.41,44.1334,0.1117,0.6765,0.4103,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,177.19,254.411,65.7,43707.6016,374
9/8/09,8.65,645.4438,7598519808,5433174,0.2081,-44.6712,8.74,8.5,8.423,78.781,57.3332,6413519872,-0.0095,0.9249,8.65,8.6,44.9524,0.1126,0.6891,0.0256,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,176.6,254.411,65.7,43707.6016,374
9/9/09,8.81,632.0388,7717151232,6323424,0.2043,-43.6477,8.83,8.51,8.436,86.2554,58.6837,6532151296,-0.0071,0.9251,8.81,8.65,44.1334,0.1071,0.6765,0,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,173.08,254.411,65.7,43707.6016,374
9/10/09,9.25,597.9148,8043388416,7890191,0.1946,-40.8333,9.25,8.76,8.501,94.3969,62.0966,6858388480,0.001,0.9263,9.25,8.81,44.0424,0.1051,0.6751,-0.3811,6.9405,273000000,0.7924,3.4786,1.2476,39.6647,173.47,254.411,65.7,43707.6016,374
