5/20/11,12.27,12.4,12.26,12.39,7358000,11.906,Southwest Airlines Co. (NYSE:LUV) - Total Enterprise Value,Southwest Airlines Co. (NYSE:LUV) - Market Cap/Total Revenues,Southwest Airlines Co. (NYSE:LUV) - P/BV,Southwest Airlines Co. (NYSE:LUV) - Dividend Yield,Southwest Airlines Co. (NYSE:LUV) - Short Interest as % of Shares Outstanding,Southwest Airlines Co. (NYSE:LUV) - Shares Sold Short
5/23/11,12.14,12.28,12.11,12.15,5490700,11.779,8479165160,0.76,1.38,0,0.04,27717813
5/24/11,11.97,12.18,11.94,12.17,5957000,11.614,8344577180,0.75,1.36,0,0.03,26150721
5/25/11,11.84,12.04,11.78,11.95,9101800,11.488,8241656960,0.75,1.34,0,0.03,26150721
5/26/11,11.79,11.9,11.72,11.79,7639400,11.44,8202072260,0.74,1.34,0,0.03,26150721
5/27/11,11.83,11.92,11.78,11.85,6253200,11.479,8233740020,0.74,1.34,0,0.03,26150721
5/31/11,11.83,11.93,11.76,11.92,6662000,11.479,8233740020,0.74,1.34,0,0.03,26150721
6/1/11,11.59,11.92,11.53,11.81,8927400,11.246,8043733460,0.73,1.32,0,0.03,26150721
6/2/11,11.57,11.71,11.54,11.61,6954300,11.226,8027899580,0.73,1.31,0,0.03,26150721
6/3/11,11.56,11.66,11.43,11.51,8744700,11.217,8019982640,0.73,1.31,0,0.03,26150721
6/6/11,11.23,11.58,11.2,11.5,10633400,10.901,7758723620,0.71,1.28,0,0.03,26150721
6/7/11,11.34,11.42,11.27,11.36,8037600,11.008,7845809960,0.71,1.29,0,0.03,26150721
6/8/11,11.08,11.44,11.05,11.3,8570000,10.756,7639969520,0.7,1.26,0,0.03,26150721
6/9/11,11.05,11.15,10.97,11.08,12534900,10.726,7616218700,0.7,1.25,0,0.03,24212348
6/10/11,10.93,11.1,10.88,11.04,7460800,10.61,7521215420,0.69,1.24,0,0.03,24212348
6/13/11,10.93,11.16,10.89,10.98,8584900,10.61,7521215420,0.69,1.24,0,0.03,24212348
6/14/11,11.09,11.18,11.02,11.04,5141600,10.765,7647886460,0.7,1.26,0,0.03,24212348
6/15/11,10.77,11.03,10.68,11.01,13328900,10.455,7394544380,0.68,1.22,0,0.03,24212348
6/16/11,10.77,10.92,10.68,10.81,9247200,10.455,7394544380,0.68,1.22,0,0.03,24212348
6/17/11,10.94,11.02,10.85,10.85,13043200,10.62,7529132360,0.69,1.24,0,0.03,24212348
6/20/11,11.04,11.2,10.91,10.95,6692500,10.717,7608301760,0.69,1.25,0,0.03,24212348
6/21/11,11.16,11.18,11.01,11.09,4544100,10.833,7703305040,0.7,1.27,0,0.03,24212348
6/22/11,11.02,11.21,11.02,11.13,4981200,10.697,7592467880,0.69,1.25,0,0.03,24212348
6/23/11,11.41,11.47,10.94,10.94,13076700,11.076,7901228540,0.72,1.3,0,0.03,24212348
6/24/11,11.36,11.4,11.04,11.3,10373800,11.027,7861643840,0.72,1.29,0,0.03,22916154
6/27/11,11.39,11.46,11.27,11.34,6794000,11.056,7885394660,0.72,1.29,0,0.03,22916154
6/28/11,11.43,11.43,11.25,11.41,8928900,11.095,7917062420,0.72,1.3,0,0.03,22916154
6/29/11,11.39,11.53,11.34,11.45,6251700,11.056,7885394660,0.72,1.29,0,0.03,22916154
6/30/11,11.42,11.6,11.38,11.44,7753300,11.086,7909145480,0.72,1.3,0,0.03,22916154
7/1/11,11.64,11.65,11.41,11.44,6053300,11.299,8083318160,0.73,1.32,0,0.03,22916154
7/5/11,11.39,11.6,11.37,11.59,4856000,11.056,7885394660,0.72,1.29,0,0.03,22916154
7/6/11,11.45,11.55,11.32,11.41,6333600,11.115,7932896300,0.72,1.3,0,0.03,22916154
7/7/11,11.61,11.61,11.41,11.53,6707200,11.27,8059567340,0.73,1.32,0,0.03,22916154
7/8/11,11.38,11.52,11.32,11.47,5875700,11.047,7877477720,0.72,1.29,0,0.03,22916154
7/11/11,11.04,11.28,11.01,11.28,5407300,10.717,7608301760,0.69,1.25,0,0.03,22916154
7/12/11,10.91,11.04,10.89,11,7233200,10.591,7505381540,0.69,1.24,0,0.03,22737022
7/13/11,10.88,11.07,10.84,10.98,6248800,10.561,7481630720,0.68,1.24,0,0.03,22737022
7/14/11,10.75,10.95,10.72,10.92,7983400,10.435,7378710500,0.68,1.22,0,0.03,22737022
7/15/11,10.72,10.83,10.63,10.8,7634100,10.406,7354959680,0.67,1.22,0,0.03,22737022
7/18/11,10.46,10.71,10.4,10.65,9595000,10.154,7149119240,0.66,1.19,0,0.03,22737022
7/19/11,10.58,10.62,10.39,10.51,9456300,10.27,7244122520,0.67,1.2,0,0.03,22737022
7/20/11,10.49,10.68,10.49,10.62,4549200,10.183,7172870060,0.66,1.19,0,0.03,22737022
7/21/11,10.47,10.61,10.39,10.57,6946700,10.163,7157036180,0.66,1.19,0,0.03,22737022
7/22/11,10.42,10.55,10.33,10.46,4779800,10.115,7117451480,0.66,1.18,0,0.03,22737022
7/25/11,10.24,10.4,10.21,10.38,6291600,9.94,6974946560,0.64,1.16,0,0.03,22737022
7/26/11,10.12,10.37,10.11,10.26,7167900,9.824,6879943280,0.64,1.15,0,0.03,22868685
7/27/11,9.94,10.15,9.92,10.11,10097100,9.649,6737438360,0.63,1.13,0,0.03,22868685
7/28/11,9.79,10.08,9.79,9.96,9009100,9.503,6618684260,0.62,1.11,0,0.03,22868685
7/29/11,9.96,10.02,9.61,9.7,9186100,9.668,6753272240,0.63,1.13,0,0.03,22868685
8/1/11,9.72,10.17,9.69,10.06,11854800,9.435,6563265680,0.61,1.1,0,0.03,22868685
8/2/11,9.39,9.73,9.36,9.65,10348400,9.115,6302006660,0.59,1.07,0,0.03,22868685
8/3/11,9.65,9.65,9.21,9.4,13349200,9.367,6507847100,0.61,1.1,0,0.03,22868685
8/4/11,8.84,9.54,8.83,9.54,22589300,8.581,6856574960,0.52,0.96,0,0.03,22868685
8/5/11,8.47,9.13,8.09,8.96,29800200,8.222,6747863060,0.5,0.95,0,0.03,22868685
8/8/11,8.08,8.4,8.07,8.3,26705100,7.843,6434303840,0.48,0.9,0,0.03,22868685
8/9/11,8.44,8.45,8.01,8.28,26808800,8.193,6723743120,0.5,0.94,0,0.03,21489585
8/10/11,8.17,8.38,8.15,8.38,27289500,7.931,6506663660,0.48,0.91,0,0.03,21489585
8/11/11,8.29,8.38,8.1,8.23,20933300,8.047,6603143420,0.49,0.93,0,0.03,21489585
8/12/11,8.31,8.51,8.24,8.35,13323600,8.067,6619223380,0.49,0.93,0,0.03,21489585
8/15/11,8.5,8.62,8.33,8.39,11774900,8.251,6771983000,0.5,0.95,0,0.03,21489585
8/16/11,8.53,8.7,8.35,8.46,13278800,8.28,6796102940,0.51,0.95,0,0.03,21489585
8/17/11,8.47,8.66,8.4,8.55,7620000,8.222,6747863060,0.5,0.95,0,0.03,21489585
8/18/11,8.04,8.32,7.92,8.24,12772400,7.805,6402143920,0.48,0.9,0,0.03,21489585
8/19/11,7.89,8.28,7.88,7.97,12305300,7.659,6281544220,0.47,0.88,0,0.03,21489585
8/22/11,7.85,8.2,7.84,8.08,9603700,7.62,6249384300,0.47,0.88,0,0.03,21489585
8/23/11,8.01,8.02,7.81,7.89,8698000,7.78,6378023980,0.48,0.89,0,0.03,21489585
8/24/11,8.21,8.22,7.96,8,6543600,7.975,6538823580,0.49,0.92,0,0.02,19654499
8/25/11,8.12,8.31,8.05,8.24,8308700,7.887,6466463760,0.48,0.91,0,0.02,19654499
8/26/11,8.2,8.27,7.99,8.07,9249500,7.965,6530783600,0.49,0.92,0,0.02,19654499
8/29/11,8.68,8.7,8.26,8.32,9838400,8.431,6916702640,0.52,0.97,0,0.02,19654499
8/30/11,8.54,8.67,8.43,8.64,8779400,8.295,6804142920,0.51,0.95,0,0.02,19654499
8/31/11,8.62,8.83,8.59,8.61,7281200,8.373,6868462760,0.51,0.96,0,0.02,19654499
9/1/11,8.43,8.73,8.38,8.6,6839200,8.188,6715703140,0.5,0.94,0,0.02,19654499
9/2/11,8.25,8.38,8.2,8.25,5409600,8.014,6570983500,0.49,0.92,0,0.02,19654499
9/6/11,8.06,8.26,8.01,8.16,8803800,7.829,6418223880,0.48,0.9,0,0.02,19654499
9/7/11,8.35,8.44,8.17,8.22,8758400,8.111,6651383300,0.5,0.93,0,0.02,19654499
9/8/11,8.13,8.34,8.1,8.29,7961100,7.897,6474503740,0.48,0.91,0,0.02,19654499
9/9/11,8.06,8.3,8.01,8.09,10200200,7.829,6418223880,0.48,0.9,0,0.02,19654499
9/12/11,7.96,8.02,7.79,8.02,10296700,7.732,6337824080,0.47,0.89,0,0.03,21881767
9/13/11,8.31,8.43,7.9,7.99,13526500,8.072,6619223380,0.49,0.93,0,0.03,21881767
9/14/11,8.5,8.62,8.12,8.4,14732400,8.256,6771983000,0.5,0.95,0,0.03,21881767
9/15/11,8.6,8.65,8.48,8.58,6028600,8.354,6852382800,0.51,0.96,0,0.03,21881767
9/16/11,8.97,8.98,8.62,8.63,18645800,8.713,7149862060,0.53,1,0,0.03,21881767
9/19/11,8.67,8.85,8.52,8.79,11196200,8.421,6908662660,0.51,0.97,0,0.03,21881767
9/20/11,8.49,8.83,8.48,8.69,12481300,8.247,6763943020,0.5,0.95,0,0.03,21881767
9/21/11,8.3,8.59,8.25,8.49,10364000,8.062,6611183400,0.49,0.93,0,0.03,21881767
9/22/11,8.03,8.22,7.95,8.07,18753800,7.8,6394103940,0.48,0.9,0,0.03,21881767
9/23/11,8.38,8.4,7.99,8.04,13980200,8.14,6675503240,0.5,0.94,0,0.03,21881767
9/26/11,8.71,8.73,8.45,8.47,12031700,8.46,6940822580,0.52,0.97,0,0.03,22970485
9/27/11,8.53,8.93,8.47,8.89,10463800,8.286,6796102940,0.51,0.95,0,0.03,22970485
9/28/11,8.53,8.7,8.48,8.51,14076900,8.286,6796102940,0.51,0.95,0,0.03,22970485
9/29/11,8.63,8.72,8.48,8.69,10279400,8.383,6876502740,0.51,0.96,0,0.03,22970485
9/30/11,8.04,8.56,8.04,8.49,10393200,7.81,6402143920,0.48,0.9,0,0.03,22970485
10/3/11,7.35,8.02,7.35,8.02,17402500,7.139,5847385300,0.44,0.82,0,0.03,22970485
10/4/11,7.5,7.55,7.15,7.37,15800000,7.285,5967985000,0.45,0.84,0,0.03,22970485
10/5/11,7.57,7.61,7.32,7.55,10169600,7.353,6024264860,0.45,0.85,0,0.03,22970485
10/6/11,7.86,7.89,7.48,7.61,9091400,7.635,6257424280,0.47,0.88,0,0.03,22970485
10/7/11,7.69,7.98,7.55,7.97,11219600,7.47,6120744620,0.46,0.86,0,0.03,22970485
10/10/11,7.97,7.97,7.69,7.76,8135500,7.742,6345864060,0.47,0.89,0,0.03,22970485
10/11/11,8.15,8.2,7.85,7.9,10567000,7.916,6490583700,0.48,0.91,0,0.03,21940275
10/12/11,8.33,8.39,8.18,8.19,10741200,8.091,6635303340,0.49,0.93,0,0.03,21940275
10/13/11,8.61,8.63,8.18,8.25,9857600,8.363,6860422780,0.51,0.96,0,0.03,21940275
10/14/11,8.61,8.69,8.48,8.69,5971900,8.363,6860422780,0.51,0.96,0,0.03,21940275
10/17/11,8.61,8.72,8.53,8.68,9473200,8.363,6860422780,0.51,0.96,0,0.03,21940275
10/18/11,8.82,8.91,8.36,8.52,8170400,8.567,7029262360,0.52,0.98,0,0.03,21940275
10/19/11,8.71,8.89,8.68,8.83,8444000,8.46,6940822580,0.52,0.97,0,0.03,21940275
10/20/11,9.1,9.28,8.71,8.71,12784500,8.839,7866381800,0.5,1.11,0,0.03,21940275
10/21/11,8.87,9.23,8.67,9.23,13583800,8.616,7681462260,0.49,1.08,0,0.03,21940275
10/24/11,9.06,9.18,8.83,8.83,6171500,8.8,7834221880,0.5,1.11,0,0.03,21940275
10/25/11,8.72,9,8.6,8.98,9089800,8.47,7474711840,0.46,1.05,0,0.03,21940275
10/26/11,8.63,8.84,8.45,8.8,8835400,8.383,7404644860,0.46,1.04,0,0.03,25225887
10/27/11,8.85,8.97,8.74,8.89,12730300,8.596,7575919700,0.47,1.06,0,0.03,25225887
10/28/11,8.78,8.89,8.65,8.82,8004600,8.528,7521423160,0.47,1.05,0,0.03,25225887
10/31/11,8.55,8.71,8.55,8.71,5576600,8.305,7342363100,0.45,1.03,0,0.03,25225887
11/1/11,8.46,8.63,8.26,8.32,18813100,8.218,7272296120,0.45,1.02,0,0.03,25225887
11/2/11,8.48,8.6,8.44,8.56,9807700,8.237,7287866560,0.45,1.02,0,0.03,25225887
11/3/11,8.59,8.63,8.43,8.61,8033700,8.344,7373503980,0.46,1.03,0,0.03,25225887
