Date,open,high,low,close,volume,adjusted_close
1970-01-02,109.625,110.250,109.500,109.625,72000,1.692
1970-01-05,109.750,110.375,109.750,110.250,446400,1.702
1970-01-06,110.250,111.375,110.125,111.375,176000,1.719
1970-01-07,111.375,112.250,111.125,112.000,164800,1.729
1970-01-08,112.000,113.750,111.750,113.500,304000,1.752
1970-01-09,113.500,113.875,112.625,113.250,139200,1.748
1970-01-12,113.250,113.375,112.500,113.375,118400,1.750
1970-01-13,113.375,114.000,113.000,113.000,262400,1.744
1970-01-14,113.125,114.750,113.125,114.250,377600,1.764
1970-01-15,113.750,113.750,112.000,112.000,169600,1.729
1970-01-16,112.000,112.750,109.250,111.250,289600,1.717
1970-01-19,110.000,110.000,108.500,109.000,179200,1.682
1970-01-20,109.000,109.875,108.500,109.875,172800,1.696
1970-01-21,109.875,109.875,108.875,109.625,272000,1.692
1970-01-22,109.625,110.500,109.375,110.250,318400,1.702
1970-01-23,110.250,110.625,109.125,109.125,176000,1.684
1970-01-26,109.125,109.875,108.000,108.625,278400,1.677
1970-01-27,108.625,108.750,105.250,105.250,217600,1.625
1970-01-28,105.250,106.250,104.500,104.625,344000,1.615
1970-01-29,104.500,104.500,103.000,103.000,296000,1.590
1970-01-30,103.000,103.000,99.625,100.375,430400,1.549
1970-02-02,100.375,100.500,99.625,100.375,340800,1.549
1970-02-03,100.375,103.500,100.375,103.000,692800,1.590
1970-02-04,103.000,103.000,100.250,100.875,392000,1.557
1970-02-05,100.875,100.875,100.000,100.500,292800,1.551
1970-02-06,100.500,100.875,100.000,100.250,313600,1.547
1970-02-09,100.375,101.875,100.375,101.250,283200,1.563
1970-02-10,101.250,101.750,100.750,101.625,267200,1.569
1970-02-11,101.625,102.125,101.250,101.375,392000,1.565
1970-02-12,102.125,103.250,102.125,103.250,217600,1.594
1970-02-13,103.250,103.875,102.875,103.625,148800,1.600
1970-02-16,104.000,105.750,104.000,105.750,142400,1.632
1970-02-17,106.250,108.125,106.250,107.125,158400,1.654
1970-02-18,107.500,109.875,107.500,108.750,683200,1.679
1970-02-19,108.750,109.500,108.250,108.750,272000,1.679
1970-02-20,108.750,109.750,107.750,108.000,584000,1.667
1970-02-24,108.000,108.000,107.125,107.125,193600,1.654
1970-02-25,107.125,109.750,107.125,109.750,299200,1.694
1970-02-26,109.750,109.750,108.250,109.375,270400,1.688
1970-02-27,109.375,109.625,108.250,109.000,152000,1.682
1970-03-02,109.000,109.750,108.750,108.750,112000,1.679
1970-03-03,108.750,108.875,107.250,107.750,128000,1.663
1970-03-04,107.750,109.000,107.500,108.625,331200,1.677
1970-03-05,108.500,108.500,106.625,107.000,168000,1.652
1970-03-06,107.000,107.250,106.000,106.500,172800,1.644
1970-03-09,106.500,106.750,105.250,105.625,120000,1.630
1970-03-10,105.625,106.375,104.500,106.375,444800,1.642
1970-03-11,106.375,107.000,105.750,106.250,201600,1.640
1970-03-12,106.250,106.500,105.500,106.000,80000,1.636
1970-03-13,106.000,106.375,104.625,106.000,155200,1.636
1970-03-16,104.500,104.500,102.000,102.250,388800,1.578
1970-03-17,102.250,104.375,102.250,103.000,228800,1.590
1970-03-18,103.000,103.500,102.375,102.750,236800,1.586
1970-03-19,102.750,103.375,102.375,103.125,126400,1.592
1970-03-20,103.000,103.000,101.250,102.000,251200,1.574
1970-03-23,102.000,102.250,100.250,100.500,393600,1.551
1970-03-24,101.000,101.875,101.000,101.375,204800,1.565
1970-03-25,102.000,104.875,102.000,103.625,436800,1.600
1970-03-26,103.625,104.750,103.000,103.375,254400,1.596
1970-03-30,103.375,104.000,102.625,104.000,198400,1.605
1970-03-31,104.000,105.250,103.500,104.500,224000,1.613
1970-04-01,105.000,106.875,105.000,106.125,241600,1.638
1970-04-02,106.125,106.875,106.125,106.625,86400,1.646
1970-04-03,106.625,106.625,106.000,106.375,121600,1.642
1970-04-06,106.000,106.000,104.125,104.250,136000,1.609
1970-04-07,104.250,104.750,102.875,104.250,681600,1.609
1970-04-08,104.250,104.250,103.000,103.250,148800,1.594
1970-04-09,103.250,104.000,103.000,103.625,225600,1.600
1970-04-10,103.625,104.000,102.875,103.500,171200,1.598
1970-04-13,103.500,103.500,102.125,102.750,131200,1.586
1970-04-14,102.500,102.500,101.500,102.125,160000,1.576
1970-04-15,102.125,103.000,100.750,101.000,363200,1.559
1970-04-16,101.000,101.750,100.625,100.750,324800,1.555
1970-04-17,100.750,100.750,99.000,99.000,363200,1.528
1970-04-20,99.000,99.500,98.750,99.000,267200,1.528
1970-04-21,99.000,101.500,98.375,98.500,472000,1.520
1970-04-22,98.250,98.250,96.500,96.500,481600,1.490
1970-04-23,96.125,96.125,94.625,95.250,524800,1.470
1970-04-24,95.250,96.375,94.375,96.000,435200,1.482
1970-04-27,95.875,95.875,94.875,95.000,257600,1.466
1970-04-28,95.000,96.375,94.250,94.375,326400,1.457
1970-04-29,94.375,94.875,93.000,94.875,448000,1.464
1970-04-30,94.875,95.000,92.500,93.750,683200,1.447
1970-05-01,93.750,94.625,93.250,94.000,260800,1.451
1970-05-04,93.250,93.250,90.625,90.750,675200,1.401
1970-05-05,90.750,91.000,89.500,89.875,564800,1.387
1970-05-06,89.875,91.750,89.500,91.125,723200,1.407
1970-05-07,91.125,93.250,91.125,93.250,353600,1.439
1970-05-08,93.250,94.250,92.750,94.000,220800,1.451
1970-05-11,94.000,94.750,92.750,92.875,196800,1.434
1970-05-12,92.875,93.375,91.375,92.125,332800,1.422
1970-05-13,91.375,91.375,89.000,89.000,366400,1.374
1970-05-14,88.500,88.500,87.000,88.500,702400,1.366
1970-05-15,88.500,90.250,88.000,90.000,302400,1.389
1970-05-18,90.000,90.375,89.125,90.375,292800,1.402
1970-05-19,90.375,90.375,88.375,88.500,174400,1.373
1970-05-20,88.500,88.625,84.500,84.625,425600,1.313
1970-05-21,84.000,84.000,82.000,83.750,784000,1.299
1970-05-22,83.750,84.500,82.125,83.500,196800,1.295
1970-05-25,83.500,83.500,78.000,78.000,508800,1.210
1970-05-26,78.000,79.750,77.500,77.750,675200,1.206
1970-05-27,77.750,82.375,77.750,82.375,480000,1.278
1970-05-28,82.375,83.750,81.750,83.125,668800,1.289
1970-05-29,83.125,84.500,82.000,84.500,377600,1.311
1970-06-01,84.500,86.750,84.500,85.125,406400,1.320
1970-06-02,85.125,86.000,84.750,86.000,350400,1.334
1970-06-03,86.000,87.250,86.000,87.125,176000,1.351
1970-06-04,87.125,88.250,85.250,85.875,406400,1.332
1970-06-05,85.875,86.000,84.500,85.375,347200,1.324
1970-06-08,85.375,86.000,84.250,84.250,585600,1.307
1970-06-09,84.125,84.125,83.125,83.500,136000,1.295
1970-06-10,83.375,83.375,81.625,82.125,217600,1.274
1970-06-11,82.125,82.750,80.625,81.000,166400,1.256
1970-06-12,81.000,81.000,79.750,80.500,336000,1.249
1970-06-15,82.125,82.125,80.000,81.000,244800,1.256
1970-06-16,81.000,82.875,80.875,82.875,254400,1.285
1970-06-17,82.750,82.750,81.875,82.250,312000,1.276
1970-06-18,82.250,83.250,81.000,81.750,665600,1.268
1970-06-19,81.750,82.125,80.000,82.000,3617600,1.272
1970-06-22,81.750,81.750,80.625,81.250,174400,1.260
1970-06-23,81.250,81.250,80.000,80.125,222400,1.243
1970-06-24,80.125,80.375,79.500,79.500,216000,1.233
1970-06-25,79.375,79.375,76.375,77.750,406400,1.206
1970-06-26,77.750,78.000,77.000,77.500,360000,1.202
1970-06-29,76.875,76.875,75.250,76.000,225600,1.179
1970-06-30,76.000,77.000,75.500,75.500,256000,1.171
1970-07-01,75.500,75.625,73.500,73.500,286400,1.140
1970-07-02,73.500,74.625,73.000,73.750,336000,1.144
1970-07-06,73.500,73.500,71.625,71.750,419200,1.113
1970-07-07,71.750,72.125,71.000,71.500,486400,1.109
1970-07-08,72.000,75.000,72.000,75.000,422400,1.163
1970-07-09,75.000,78.125,75.000,75.375,1344000,1.169
1970-07-10,75.375,75.625,74.750,74.750,193600,1.159
1970-07-13,74.750,74.875,73.875,73.875,252800,1.146
1970-07-14,74.000,74.750,74.000,74.750,379200,1.159
1970-07-15,74.750,75.750,74.750,75.750,401600,1.175
1970-07-16,76.500,78.375,76.500,77.875,521600,1.208
1970-07-17,78.250,79.750,78.250,79.750,380800,1.237
1970-07-20,79.750,79.875,78.625,79.125,238400,1.227
1970-07-21,79.125,79.750,78.750,79.750,256000,1.237
1970-07-22,79.750,80.875,79.000,80.125,454400,1.243
1970-07-23,80.125,81.375,79.750,81.375,374400,1.262
1970-07-24,81.375,81.375,80.000,81.000,483200,1.256
1970-07-27,80.875,80.875,80.375,80.500,136000,1.249
1970-07-28,80.500,80.750,80.000,80.500,256000,1.249
1970-07-29,80.500,81.125,80.250,80.500,451200,1.249
1970-07-30,80.500,80.750,80.125,80.750,179200,1.253
1970-07-31,80.750,81.000,80.250,80.750,233600,1.253
1970-08-03,80.750,81.250,80.250,80.750,728000,1.253
1970-08-04,80.625,80.625,79.875,80.500,240000,1.249
1970-08-05,80.500,80.750,80.125,80.625,177600,1.251
1970-08-06,80.625,82.250,80.375,82.250,200000,1.276
1970-08-07,82.250,84.375,82.000,83.125,928000,1.289
1970-08-10,83.125,83.500,82.375,82.750,128000,1.284
1970-08-11,82.750,82.875,81.250,82.375,236800,1.278
1970-08-12,82.375,82.375,81.125,81.250,108800,1.260
1970-08-13,81.250,81.250,79.750,79.875,281600,1.239
1970-08-14,79.875,79.875,78.125,78.125,320000,1.212
1970-08-17,78.125,78.500,78.000,78.375,204800,1.223
1970-08-18,78.750,79.875,78.750,79.125,265600,1.234
1970-08-19,79.250,80.375,79.250,80.125,320000,1.250
1970-08-20,80.125,81.500,80.000,81.500,212800,1.271
1970-08-21,81.500,84.500,80.625,84.500,238400,1.318
1970-08-24,84.500,87.500,84.375,86.250,2142400,1.345
1970-08-25,86.250,87.250,85.625,87.000,416000,1.357
1970-08-26,87.000,87.875,86.875,87.000,283200,1.357
1970-08-27,87.000,88.250,87.000,87.750,160000,1.369
1970-08-28,87.750,89.625,87.750,88.375,507200,1.379
1970-08-31,88.375,88.875,86.750,87.875,155200,1.371
1970-09-01,87.875,87.875,85.000,85.250,1584000,1.330
1970-09-02,85.250,85.250,84.250,85.000,172800,1.326
1970-09-03,85.000,86.625,84.250,85.000,976000,1.326
1970-09-04,85.000,85.375,84.500,84.750,364800,1.322
1970-09-08,84.750,85.250,84.125,84.375,209600,1.316
1970-09-09,84.375,85.750,84.250,85.750,448000,1.338
1970-09-10,85.750,86.000,84.250,85.625,456000,1.336
1970-09-11,85.625,86.500,85.125,85.125,123200,1.328
1970-09-14,85.125,86.000,84.750,85.375,331200,1.332
1970-09-15,85.375,85.750,84.625,85.750,105600,1.338
1970-09-16,85.750,86.500,85.250,85.875,368000,1.340
1970-09-17,85.875,86.250,85.500,86.000,254400,1.341
1970-09-18,86.000,86.375,85.625,86.250,288000,1.345
1970-09-21,86.250,87.750,85.750,86.000,177600,1.341
1970-09-22,86.000,86.125,85.375,85.750,307200,1.338
1970-09-23,86.000,87.750,86.000,87.250,332800,1.361
1970-09-24,87.750,90.875,87.750,90.000,304000,1.404
1970-09-25,90.000,90.000,88.000,88.125,710400,1.375
1970-09-28,88.125,89.000,87.750,88.000,148800,1.373
1970-09-29,88.000,88.000,87.250,87.500,316800,1.365
1970-09-30,87.500,88.375,87.375,88.375,331200,1.379
1970-10-01,88.375,88.875,86.750,87.000,1632000,1.357
1970-10-02,87.000,87.750,86.750,87.375,452800,1.363
1970-10-05,87.375,88.750,87.125,88.750,432000,1.384
1970-10-06,88.750,89.750,88.750,89.625,785600,1.398
1970-10-07,89.625,90.375,89.125,89.750,360000,1.400
1970-10-08,89.750,90.250,89.000,89.250,355200,1.392
1970-10-09,89.250,89.375,88.000,88.000,377600,1.373
1970-10-12,88.000,88.500,87.125,87.750,80000,1.369
1970-10-13,87.750,87.750,87.000,87.500,144000,1.365
1970-10-14,87.500,89.375,87.500,89.000,152000,1.388
1970-10-15,89.000,90.000,88.625,89.875,462400,1.402
1970-10-16,89.875,89.875,89.000,89.125,105600,1.390
1970-10-19,89.125,89.500,88.625,89.250,174400,1.392
1970-10-20,88.875,88.875,88.000,88.375,372800,1.379
1970-10-21,88.375,89.375,88.250,89.000,593600,1.388
1970-10-22,89.000,89.125,88.500,89.125,177600,1.390
1970-10-23,89.125,89.625,88.625,89.250,585600,1.392
1970-10-26,89.250,89.750,88.750,89.125,105600,1.390
1970-10-27,89.125,89.250,88.000,88.375,219200,1.379
1970-10-28,88.375,88.375,86.750,88.000,1579200,1.373
1970-10-29,88.125,89.000,88.125,88.125,292800,1.375
1970-10-30,88.375,89.000,88.375,88.500,187200,1.380
1970-11-02,88.500,89.000,88.250,88.750,232000,1.384
1970-11-03,88.750,88.875,88.250,88.375,104000,1.379
1970-11-04,88.500,89.500,88.500,88.750,315200,1.384
1970-11-05,89.000,89.875,89.000,89.250,195200,1.392
1970-11-06,89.250,89.500,88.625,89.500,264000,1.396
1970-11-09,89.500,90.500,89.250,90.500,350400,1.412
1970-11-10,90.500,90.500,86.250,87.250,8934400,1.361
1970-11-11,87.250,88.375,86.875,86.875,372800,1.355
1970-11-12,86.875,87.125,86.000,86.000,2092800,1.341
1970-11-13,86.000,86.875,85.625,86.250,524800,1.345
1970-11-16,86.250,86.375,85.375,85.750,150400,1.344
1970-11-17,85.750,86.375,85.500,85.500,1513600,1.340
1970-11-18,85.500,85.875,84.875,85.750,576000,1.344
1970-11-19,85.750,85.875,85.250,85.500,124800,1.340
1970-11-20,85.500,86.250,85.250,86.250,366400,1.352
1970-11-23,86.250,88.000,86.250,87.875,388800,1.378
1970-11-24,87.875,88.250,87.250,88.000,273600,1.380
1970-11-25,88.500,90.000,88.500,90.000,278400,1.411
1970-11-27,90.000,90.750,89.000,90.750,214400,1.423
1970-11-30,90.250,90.250,89.625,89.875,515200,1.409
1970-12-01,89.875,90.375,89.000,89.875,427200,1.409
1970-12-02,89.875,91.000,88.625,90.875,569600,1.425
1970-12-03,91.375,92.875,91.375,91.625,672000,1.436
1970-12-04,91.625,93.000,91.500,92.500,312000,1.450
1970-12-07,92.500,93.875,92.500,93.875,436800,1.472
1970-12-08,94.000,95.000,94.000,94.000,472000,1.474
1970-12-09,94.000,94.750,93.500,94.000,404800,1.474
1970-12-10,94.000,95.250,93.750,95.125,475200,1.491
1970-12-11,95.125,97.375,95.000,97.000,470400,1.521
1970-12-14,97.000,97.250,96.125,96.500,267200,1.513
1970-12-15,96.500,97.000,96.000,96.500,244800,1.513
1970-12-16,96.500,97.000,95.875,96.625,185600,1.515
1970-12-17,96.625,96.875,96.375,96.625,110400,1.515
1970-12-18,96.625,97.000,96.500,97.000,184000,1.521
1970-12-21,97.000,97.000,95.000,95.000,376000,1.489
1970-12-22,95.000,96.000,95.000,95.750,348800,1.501
1970-12-23,95.750,96.000,95.250,95.250,192000,1.493
1970-12-24,95.250,95.875,94.750,95.500,259200,1.497
1970-12-28,95.500,96.000,95.125,95.875,110400,1.503
1970-12-29,96.125,97.375,96.125,97.375,224000,1.527
1970-12-30,97.375,98.500,97.375,98.500,368000,1.544
1970-12-31,98.500,99.000,98.000,99.000,160000,1.552
1971-01-04,98.250,98.250,96.875,96.875,166400,1.519
1971-01-05,96.875,97.625,95.125,97.625,160000,1.531
1971-01-06,97.625,98.250,97.250,97.500,129600,1.529
1971-01-07,97.500,98.000,97.250,97.250,179200,1.525
1971-01-08,97.250,98.000,96.625,96.875,184000,1.519
1971-01-11,96.625,96.625,95.250,95.875,278400,1.503
1971-01-12,95.875,96.000,95.875,96.000,472000,1.505
1971-01-13,96.000,96.625,96.000,96.125,467200,1.507
1971-01-14,96.125,96.250,95.750,96.250,979200,1.509
1971-01-15,96.250,96.500,95.750,96.375,304000,1.511
1971-01-18,96.375,96.625,96.000,96.000,152000,1.505
1971-01-19,96.000,96.375,95.875,96.375,196800,1.511
1971-01-20,96.375,96.750,96.125,96.500,316800,1.513
1971-01-21,96.500,97.125,96.375,97.000,315200,1.521
1971-01-22,97.000,98.000,97.000,97.875,323200,1.534
1971-01-25,97.875,98.500,97.875,98.500,219200,1.544
1971-01-26,98.500,99.000,98.125,98.750,1094400,1.548
1971-01-27,98.750,99.000,97.375,98.375,564800,1.542
1971-01-28,98.375,98.875,98.000,98.125,329600,1.538
1971-01-29,98.375,99.000,98.375,99.000,188800,1.552
1971-02-01,99.375,100.000,99.375,99.625,568000,1.562
1971-02-02,99.625,99.875,99.000,99.125,416000,1.554
1971-02-03,99.125,101.875,99.125,101.875,416000,1.597
1971-02-04,101.875,102.250,100.375,101.000,331200,1.583
1971-02-05,101.000,101.250,100.375,100.375,480000,1.574
1971-02-08,100.375,101.500,100.000,101.500,387200,1.591
1971-02-09,101.500,102.000,101.125,101.625,316800,1.593
1971-02-10,101.625,102.000,100.625,101.750,484800,1.595
1971-02-11,101.750,102.500,101.000,102.500,219200,1.614
1971-02-12,102.500,103.500,102.375,103.500,96000,1.630
1971-02-16,103.500,104.250,103.375,104.000,217600,1.638
1971-02-17,104.000,104.125,103.250,103.875,283200,1.636
1971-02-18,103.875,104.000,103.000,103.625,395200,1.632
1971-02-19,103.625,103.875,102.750,103.750,182400,1.634
1971-02-22,103.250,103.250,101.125,101.500,838400,1.599
1971-02-23,101.375,101.375,100.375,101.125,305600,1.593
1971-02-24,101.125,101.750,100.500,101.750,216000,1.603
1971-02-25,101.750,102.750,100.500,102.500,531200,1.614
1971-02-26,102.500,103.875,102.000,103.750,451200,1.634
1971-03-01,103.750,104.000,103.000,104.000,294400,1.638
1971-03-02,104.000,104.500,103.625,104.500,211200,1.646
1971-03-03,104.500,104.750,103.750,104.125,564800,1.640
1971-03-04,104.125,104.875,104.000,104.375,206400,1.644
1971-03-05,104.375,104.875,104.375,104.750,268800,1.650
1971-03-08,104.750,105.250,104.375,105.125,240000,1.656
1971-03-09,105.125,106.750,105.000,106.250,334400,1.673
1971-03-10,106.500,107.000,106.500,107.000,264000,1.685
1971-03-11,107.000,107.500,106.500,107.500,236800,1.693
1971-03-12,107.500,108.750,106.500,108.750,212800,1.713
1971-03-15,108.750,112.750,108.750,112.750,243200,1.776
1971-03-16,112.750,114.000,112.250,113.750,630400,1.792
1971-03-17,113.250,113.250,112.500,113.000,313600,1.780
1971-03-18,113.000,114.750,113.000,114.250,446400,1.799
1971-03-19,114.750,115.625,114.750,115.625,216000,1.821
1971-03-22,115.250,115.250,113.500,114.000,161600,1.795
1971-03-23,114.000,114.375,112.000,112.250,174400,1.768
1971-03-24,111.500,111.500,109.875,110.125,305600,1.734
1971-03-25,110.125,112.000,109.750,111.875,286400,1.762
1971-03-26,111.875,113.000,111.375,112.000,270400,1.764
1971-03-29,112.000,112.750,111.250,111.875,267200,1.762
1971-03-30,111.875,112.375,111.125,112.125,187200,1.766
1971-03-31,112.250,113.875,112.250,112.750,345600,1.776
1971-04-01,112.750,113.750,112.250,113.750,161600,1.792
1971-04-02,113.750,114.500,113.375,114.000,252800,1.795
1971-04-05,114.000,114.000,112.375,112.875,163200,1.778
1971-04-06,112.875,114.750,112.375,114.625,289600,1.805
1971-04-07,114.625,115.125,114.000,114.500,158400,1.803
1971-04-08,114.500,114.750,113.000,113.375,107200,1.786
1971-04-12,113.375,114.000,113.250,113.250,132800,1.784
1971-04-13,113.250,113.750,112.375,113.250,265600,1.784
1971-04-14,113.250,114.750,113.000,114.750,385600,1.807
1971-04-15,114.375,114.375,112.250,112.250,312000,1.768
1971-04-16,112.250,113.625,112.000,113.375,222400,1.786
1971-04-19,113.375,115.625,113.375,115.500,376000,1.819
1971-04-20,115.500,115.750,115.125,115.500,169600,1.819
1971-04-21,115.750,118.250,115.750,117.000,158400,1.843
1971-04-22,117.000,117.375,115.000,115.625,395200,1.821
1971-04-23,115.000,115.000,114.250,114.875,216000,1.809
1971-04-26,115.000,115.750,115.000,115.750,289600,1.823
1971-04-27,116.875,117.875,116.875,117.000,168000,1.843
1971-04-28,117.000,118.750,116.500,116.500,724800,1.835
1971-04-29,116.500,116.875,115.000,115.250,254400,1.815
1971-04-30,115.250,115.750,114.000,114.500,281600,1.803
1971-05-03,114.500,114.875,113.250,114.250,297600,1.799
1971-05-04,114.000,114.000,112.250,113.375,350400,1.786
1971-05-05,113.250,113.250,112.000,112.750,508800,1.776
1971-05-06,113.125,114.000,113.125,113.750,172800,1.792
1971-05-07,113.375,113.375,112.000,112.125,204800,1.766
1971-05-10,112.000,112.000,110.875,111.375,182400,1.754
1971-05-11,111.375,113.375,110.875,112.750,308800,1.776
1971-05-12,112.750,113.250,112.500,112.500,342400,1.772
1971-05-13,112.500,113.250,112.500,113.250,112000,1.784
1971-05-14,113.250,113.875,112.500,112.500,188800,1.772
1971-05-17,112.500,112.625,111.750,112.000,230400,1.771
1971-05-18,112.000,114.375,112.000,113.625,307200,1.797
