Pricing Date,3M Company (NYSE:MMM) - Share Pricing,3M Company (NYSE:MMM) - Day High Price,3M Company (NYSE:MMM) - Day Low Price,3M Company (NYSE:MMM) - Day Open Price,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding,3M Company (NYSE:MMM) - Latest Annualized Dividend Per Share
May-24-2006,83.82,84.10,82.65,83.19,2906600,64532580240,2.92621600,5.75071000,6385484,0.021951,0.00846958,1.84
May-25-2006,83.26,84.23,82.86,83.95,2821900,64110378320,2.90666600,5.71228900,6385484,0.022099,0.00846958,1.84
May-26-2006,83.87,84.00,82.91,83.26,1838000,64570276840,2.92796200,5.75414000,6385484,0.021938,0.00846958,1.84
May-30-2006,83.46,83.98,83.35,83.50,2334600,64261164720,2.91364900,5.72601100,6385484,0.022046,0.00846958,1.84
May-31-2006,83.66,84.62,83.15,83.70,3364300,64411951120,2.92063100,5.73973200,6385484,0.021993,0.00846958,1.84
Jun-01-2006,84.51,84.67,83.14,83.66,1721800,65052793320,2.95030500,5.79804900,6385484,0.021772,0.00846958,1.84
Jun-02-2006,84.78,85.23,84.50,84.80,2318900,65256354960,2.95973100,5.81657300,6385484,0.021703,0.00846958,1.84
Jun-05-2006,82.95,84.33,82.88,84.10,2601000,63876659400,2.89584400,5.69102100,6385484,0.022182,0.00846958,1.84
Jun-06-2006,82.26,83.91,81.29,83.20,4300100,63356446320,2.87175600,5.64368100,6385484,0.022368,0.00846958,1.84
Jun-07-2006,80.34,82.28,80.34,82.26,3797800,61908896880,2.80472700,5.51195400,6385484,0.022902,0.00846958,1.84
Jun-08-2006,81.75,81.94,79.24,79.80,4435400,62971941000,2.85395100,5.60869100,6385484,0.022507,0.00846958,1.84
Jun-09-2006,80.57,81.87,80.25,81.39,2561200,62082301240,2.81275700,5.52773400,6385484,0.022837,0.00846958,1.84
Jun-12-2006,80.16,81.09,79.89,80.57,2535100,61773189120,2.79844300,5.49960500,6385484,0.022954,0.00846958,1.84
Jun-13-2006,79.96,81.23,79.94,80.35,3444200,61622402720,2.79146100,5.48588300,6385484,0.023011,0.00846958,1.84
Jun-14-2006,79.90,80.47,79.28,79.80,2488900,61577166800,2.78936600,5.48176700,6385484,0.023028,0.00846958,1.84
Jun-15-2006,80.90,81.34,79.25,79.65,3190100,62331098800,2.82427700,5.55037500,6385484,0.022744,0.00846958,1.84
Jun-16-2006,80.51,81.15,80.31,80.98,3519500,62037065320,2.81066200,5.52361800,6385484,0.022854,0.00846958,1.84
Jun-19-2006,79.43,80.70,78.89,80.70,2448900,61222818760,2.77295800,5.44952100,6385484,0.023165,0.00846958,1.84
Jun-20-2006,79.89,80.61,79.05,79.43,2139500,61569627480,2.78901700,5.48108100,6385484,0.023031,0.00846958,1.84
Jun-21-2006,80.40,81.32,79.90,79.90,2351800,61954132800,2.80682200,5.51607100,6385484,0.022885,0.00846958,1.84
Jun-22-2006,79.59,80.80,79.29,80.65,1795700,61343447880,2.77854400,5.46049800,6418658,0.023118,0.00851358,1.84
Jun-23-2006,79.92,80.28,79.49,79.60,2398400,61592245440,2.79006500,5.48313900,6418658,0.023023,0.00851358,1.84
Jun-26-2006,80.21,80.35,79.60,79.92,1626900,61810885720,2.80018900,5.50303500,6418658,0.022939,0.00851358,1.84
Jun-27-2006,78.70,80.93,78.62,80.40,2527400,60672448400,2.74747300,5.39943800,6418658,0.023379,0.00851358,1.84
Jun-28-2006,79.28,79.36,78.61,78.71,1787900,61109728960,2.76772200,5.43923000,6418658,0.023208,0.00851358,1.84
