40683.00,94.55,94.65,93.13,93.56,3486900.00,82.45,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
40686.00,92.29,92.88,91.76,92.49,2988900.00,81.51,2990188.00,67701266730.00,6398617.00,2.38,3.98,0.02,0.01
40687.00,92.92,92.92,91.93,91.97,3218300.00,81.05,3218292.00,67331766690.00,7056976.00,2.37,3.96,0.02,0.01
40688.00,91.54,93.03,91.38,92.69,2814300.00,81.69,2814531.00,67843382130.00,7056976.00,2.38,3.99,0.02,0.01
40689.00,92.65,93.20,92.03,92.82,2669200.00,81.80,2672373.00,67935757140.00,7056976.00,2.39,4.00,0.02,0.01
40690.00,93.46,93.99,93.10,93.47,1987200.00,82.37,1987187.00,68397632190.00,7056976.00,2.40,4.03,0.02,0.01
40694.00,94.05,94.68,93.49,94.38,3181300.00,83.17,3181485.00,69044257260.00,7056976.00,2.43,4.07,0.02,0.01
40695.00,94.33,94.33,91.33,91.44,3456200.00,80.58,3456156.00,66955160880.00,7056976.00,2.35,3.94,0.02,0.01
40696.00,91.35,92.11,90.97,91.46,2745200.00,80.60,2745980.00,66969372420.00,7056976.00,2.35,3.94,0.02,0.01
40697.00,90.19,91.23,90.19,90.70,3108300.00,79.93,3108261.00,66429333900.00,7056976.00,2.33,3.91,0.02,0.01
40700.00,90.38,90.93,90.24,90.62,2964500.00,79.86,2955177.00,66372487740.00,7056976.00,2.33,3.90,0.02,0.01
40701.00,90.86,91.99,90.74,90.85,3049700.00,80.06,3051248.00,66535920450.00,7056976.00,2.34,3.91,0.02,0.01
40702.00,90.94,91.35,90.36,90.91,3469900.00,80.12,3469872.00,66578555070.00,7056976.00,2.34,3.92,0.02,0.01
40703.00,91.36,92.43,90.99,91.96,2493300.00,81.04,2493278.00,67324660920.00,6613575.00,2.37,3.96,0.02,0.01
40704.00,91.44,91.90,90.64,90.73,2765200.00,79.96,2765139.00,66450651210.00,6613575.00,2.33,3.91,0.02,0.01
40707.00,91.14,91.87,90.90,91.30,2543300.00,80.46,2543230.00,66855680100.00,6613575.00,2.35,3.93,0.02,0.01
40708.00,92.28,92.99,92.04,92.59,2839100.00,81.60,2839046.00,67772324430.00,6613575.00,2.38,3.99,0.02,0.01
40709.00,91.70,92.08,90.58,91.03,3407700.00,80.22,3407667.00,66663824310.00,6613575.00,2.34,3.92,0.02,0.01
40710.00,91.07,91.88,90.66,91.58,2995700.00,80.71,2995789.00,67054641660.00,6613575.00,2.36,3.95,0.02,0.01
40711.00,92.30,92.63,91.53,91.78,3764100.00,80.88,3764214.00,67196757060.00,6613575.00,2.36,3.95,0.02,0.01
40714.00,91.42,92.87,91.41,92.56,2026700.00,81.57,2026665.00,67751007120.00,6613575.00,2.38,3.99,0.02,0.01
40715.00,92.81,93.79,92.33,93.43,2438300.00,82.34,2438432.00,68369209110.00,6613575.00,2.40,4.03,0.02,0.01
40716.00,93.33,93.92,92.72,92.80,2675400.00,81.78,2676777.00,67921545600.00,6613575.00,2.39,4.00,0.02,0.01
40717.00,92.04,92.42,90.73,92.34,3804200.00,81.38,3804334.00,67594680180.00,6613575.00,2.38,3.98,0.02,0.01
40718.00,92.34,92.53,90.68,90.89,4179900.00,80.10,4179820.00,66564343530.00,7559406.00,2.34,3.92,0.02,0.01
40721.00,91.08,92.65,90.84,92.25,2783700.00,81.30,2783795.00,67530728250.00,7559406.00,2.37,3.97,0.02,0.01
40722.00,92.63,93.02,92.42,93.02,2730000.00,81.98,2729913.00,68077872540.00,7559406.00,2.39,4.01,0.02,0.01
40723.00,93.42,93.64,92.68,93.11,3071700.00,82.06,3071694.00,68141824470.00,7559406.00,2.39,4.01,0.02,0.01
40724.00,93.38,95.06,93.35,94.85,4201800.00,83.59,4201764.00,69378228450.00,7559406.00,2.44,4.09,0.02,0.01
40725.00,94.83,96.95,94.83,96.67,4659700.00,85.19,4659666.00,70671478590.00,7559406.00,2.49,4.16,0.02,0.01
40729.00,96.40,96.86,96.06,96.14,3064200.00,84.73,3063472.00,70294872780.00,7559406.00,2.47,4.14,0.02,0.01
40730.00,96.12,97.50,96.10,97.24,3704100.00,85.70,3704034.00,71076507480.00,7559406.00,2.50,4.19,0.02,0.01
40731.00,97.73,98.19,97.17,97.97,3312100.00,86.34,3312074.00,71595228690.00,7559406.00,2.52,4.22,0.02,0.01
40732.00,97.12,97.67,96.99,97.62,3014900.00,86.03,3014844.00,71346526740.00,7559406.00,2.51,4.21,0.02,0.01
40735.00,96.45,97.00,96.06,96.56,4510200.00,85.10,4510390.00,70593315120.00,7559406.00,2.48,4.16,0.02,0.01
40736.00,97.11,97.22,95.80,95.88,4578100.00,84.50,4578317.00,70110122760.00,6522124.00,2.47,4.13,0.02,0.01
40737.00,96.09,97.30,96.03,96.19,2816100.00,84.77,2816056.00,70330401630.00,6522124.00,2.47,4.14,0.02,0.01
