5/20/11,94.55,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
5/23/11,92.29,2990188,67701266730,6398617,2.38,3.98,0.02,0.01
5/24/11,92.92,3218292,67331766690,7056976,2.37,3.96,0.02,0.01
5/25/11,91.54,2814531,67843382130,7056976,2.38,3.99,0.02,0.01
5/26/11,92.65,2672373,67935757140,7056976,2.39,4,0.02,0.01
5/27/11,93.46,1987187,68397632190,7056976,2.4,4.03,0.02,0.01
5/31/11,94.05,3181485,69044257260,7056976,2.43,4.07,0.02,0.01
6/1/11,94.33,3456156,66955160880,7056976,2.35,3.94,0.02,0.01
6/2/11,91.35,2745980,66969372420,7056976,2.35,3.94,0.02,0.01
6/3/11,90.19,3108261,66429333900,7056976,2.33,3.91,0.02,0.01
6/6/11,90.38,2955177,66372487740,7056976,2.33,3.9,0.02,0.01
6/7/11,90.86,3051248,66535920450,7056976,2.34,3.91,0.02,0.01
6/8/11,90.94,3469872,66578555070,7056976,2.34,3.92,0.02,0.01
6/9/11,91.36,2493278,67324660920,6613575,2.37,3.96,0.02,0.01
6/10/11,91.44,2765139,66450651210,6613575,2.33,3.91,0.02,0.01
6/13/11,91.14,2543230,66855680100,6613575,2.35,3.93,0.02,0.01
6/14/11,92.28,2839046,67772324430,6613575,2.38,3.99,0.02,0.01
6/15/11,91.7,3407667,66663824310,6613575,2.34,3.92,0.02,0.01
6/16/11,91.07,2995789,67054641660,6613575,2.36,3.95,0.02,0.01
6/17/11,92.3,3764214,67196757060,6613575,2.36,3.95,0.02,0.01
6/20/11,91.42,2026665,67751007120,6613575,2.38,3.99,0.02,0.01
6/21/11,92.81,2438432,68369209110,6613575,2.4,4.03,0.02,0.01
6/22/11,93.33,2676777,67921545600,6613575,2.39,4,0.02,0.01
6/23/11,92.04,3804334,67594680180,6613575,2.38,3.98,0.02,0.01
6/24/11,92.34,4179820,66564343530,7559406,2.34,3.92,0.02,0.01
6/27/11,91.08,2783795,67530728250,7559406,2.37,3.97,0.02,0.01
6/28/11,92.63,2729913,68077872540,7559406,2.39,4.01,0.02,0.01
6/29/11,93.42,3071694,68141824470,7559406,2.39,4.01,0.02,0.01
6/30/11,93.38,4201764,69378228450,7559406,2.44,4.09,0.02,0.01
7/1/11,94.83,4659666,70671478590,7559406,2.49,4.16,0.02,0.01
7/5/11,96.4,3063472,70294872780,7559406,2.47,4.14,0.02,0.01
7/6/11,96.12,3704034,71076507480,7559406,2.5,4.19,0.02,0.01
7/7/11,97.73,3312074,71595228690,7559406,2.52,4.22,0.02,0.01
7/8/11,97.12,3014844,71346526740,7559406,2.51,4.21,0.02,0.01
7/11/11,96.45,4510390,70593315120,7559406,2.48,4.16,0.02,0.01
7/12/11,97.11,4578317,70110122760,6522124,2.47,4.13,0.02,0.01
7/13/11,96.09,2816056,70330401630,6522124,2.47,4.14,0.02,0.01
7/14/11,94.82,5397030,69470603460,6522124,2.44,4.09,0.02,0.01
7/15/11,95.2,3924023,69818786190,6522124,2.46,4.11,0.02,0.01
7/18/11,95.1,2951703,69200584200,6522124,2.43,4.08,0.02,0.01
7/19/11,94.94,4756841,68966093790,6522124,2.42,4.06,0.02,0.01
7/20/11,94.83,2807906,68951882250,6522124,2.42,4.06,0.02,0.01
7/21/11,95.01,3540882,70081699680,6522124,2.47,4.13,0.02,0.01
7/22/11,96.09,2846219,69754834260,6522124,2.45,4.11,0.02,0.01
7/25/11,94.84,3438665,69534555390,6522124,2.45,4.1,0.02,0.01
7/26/11,91.92,11432430,64978189610,7532547,2.24,3.6,0.02,0.01
7/27/11,89.69,6658356,63571930880,7532547,2.19,3.52,0.02,0.01
7/28/11,88.19,4285864,63210067520,7532547,2.17,3.5,0.03,0.01
7/29/11,86.94,4888184,62904967040,7532547,2.16,3.48,0.03,0.01
8/1/11,87.98,5997900,62642438720,7532547,2.15,3.47,0.03,0.01
8/2/11,85.67,6407146,61578134720,7532547,2.12,3.41,0.03,0.01
8/3/11,85.56,6276942,62223812480,7532547,2.14,3.45,0.03,0.01
8/4/11,85.07,9061689,59833145280,7532547,2.04,3.37,0.03,0.01
8/5/11,83.44,8454618,60202104000,7532547,2.05,3.39,0.03,0.01
8/8/11,80.75,11496490,57250434240,7532547,1.95,3.22,0.03,0.01
8/9/11,80.23,12008330,60159531840,7789451,2.05,3.39,0.03,0.01
8/10/11,81,9377395,56995001280,7789451,1.94,3.2,0.03,0.01
8/11/11,78.69,7142235,59116513920,7789451,2.02,3.33,0.03,0.01
8/12/11,81.89,5718059,60053101440,7789451,2.05,3.38,0.03,0.01
8/15/11,82.66,4157195,60599444160,7789451,2.07,3.41,0.03,0.01
8/16/11,82.53,5078274,59762191680,7789451,2.04,3.36,0.03,0.01
8/17/11,82.19,5429400,58910748480,7789451,2.01,3.31,0.03,0.01
8/18/11,79.83,8546227,56420277120,7789451,1.92,3.17,0.03,0.01
8/19/11,76.65,6151853,56030032320,7789451,1.91,3.15,0.03,0.01
8/22/11,78.34,4434716,56086795200,7789451,1.91,3.15,0.03,0.01
8/23/11,77.17,5819100,58016733120,7789451,1.98,3.26,0.03,0.01
8/24/11,79.4,5176759,58456645440,10031137,1.99,3.29,0.03,0.01
8/25/11,80.45,6605758,56966619840,10031137,1.94,3.2,0.03,0.01
8/26/11,77.73,5389981,58257975360,10031137,1.99,3.28,0.03,0.01
8/29/11,81.3,3466934,59740905600,10031137,2.04,3.36,0.03,0.01
8/30/11,81.68,3734193,59719619520,10031137,2.04,3.36,0.03,0.01
8/31/11,82.7,4737646,60365297280,10031137,2.06,3.4,0.03,0.01
9/1/11,83.02,4535312,59393232960,10031137,2.03,3.34,0.03,0.01
9/2/11,80.02,4391281,57789681600,10031137,1.97,3.25,0.03,0.01
9/6/11,77.44,5271141,56888570880,10031137,1.94,3.2,0.03,0.01
9/7/11,79.36,5216110,58655315520,10031137,2,3.3,0.03,0.01
9/8/11,79.88,4723619,57725823360,10031137,1.97,3.25,0.03,0.01
9/9/11,78.06,7423451,55873934400,10031137,1.9,3.14,0.03,0.01
9/12/11,76.21,5848828,56987905920,10196257,1.94,3.2,0.03,0.01
9/13/11,78.28,6469078,56696996160,10196257,1.93,3.19,0.03,0.01
9/14/11,77.96,5402426,57853539840,10196257,1.97,3.25,0.03,0.01
9/15/11,80.18,4222294,58697887680,10196257,2,3.3,0.03,0.01
9/16/11,81.43,6027526,58626934080,10196257,2,3.3,0.03,0.01
9/19/11,79.57,4552695,57690346560,10196257,1.97,3.24,0.03,0.01
9/20/11,79.44,3914774,57690346560,10196257,1.97,3.24,0.03,0.01
9/21/11,79.33,4958394,55653978240,10196257,1.9,3.13,0.03,0.01
9/22/11,74.82,10108460,53213174400,10196257,1.81,2.98,0.03,0.01
9/23/11,72.64,4583749,53986568640,10196257,1.84,3.03,0.03,0.01
9/26/11,74.39,5033308,54838011840,11689097,1.87,3.08,0.03,0.02
9/27/11,76.37,4875385,55611406080,11689097,1.89,3.12,0.03,0.02
9/28/11,76.42,5932031,53709849600,11689097,1.83,3.01,0.03,0.02
9/29/11,74.97,5633718,54369718080,11689097,1.85,3.05,0.03,0.02
9/30/11,73.91,7185141,52425589440,11689097,1.78,2.94,0.03,0.02
10/3/11,71.13,7619527,51815388480,11689097,1.76,2.9,0.03,0.02
10/4/11,70.13,8689888,52581687360,11689097,1.79,2.95,0.03,0.02
10/5/11,71.74,5468927,52950646080,11689097,1.8,2.97,0.03,0.02
10/6/11,72.72,4835766,54454862400,11689097,1.85,3.06,0.03,0.02
10/7/11,75.2,5291784,53865947520,11689097,1.83,3.02,0.03,0.02
10/10/11,75.12,3855981,55923601920,11689097,1.91,3.14,0.03,0.02
10/11/11,76.55,3320384,55710741120,11001357,1.9,3.13,0.03,0.02
10/12/11,76.73,5663238,57087240960,11001357,1.95,3.21,0.03,0.02
10/13/11,78.27,3726920,56689900800,11001357,1.93,3.19,0.03,0.02
10/14/11,78.94,2840773,57463295040,11001357,1.96,3.23,0.03,0.02
10/17/11,78.63,4359442,55327591680,11001357,1.88,3.11,0.03,0.02
10/18/11,76.18,4167312,57087240960,11001357,1.95,3.21,0.03,0.02
10/19/11,78.26,3864997,56618947200,11001357,1.93,3.18,0.03,0.02
10/20/11,77.77,4087206,57314292480,11001357,1.95,3.22,0.03,0.02
10/21/11,79.38,5125472,58591457280,11001357,2,3.3,0.03,0.02
10/24/11,80.32,5428807,59797668480,11001357,2.04,3.36,0.03,0.02
10/25/11,76.88,12651830,55959653440,11001357,1.87,3.1,0.03,0.02
10/26/11,77.98,5788879,55276081900,11216720,1.85,3.1,0.03,0.02
10/27/11,79.51,7414366,58352791450,11216720,1.95,3.28,0.03,0.02
10/28/11,81.53,5252021,58065445000,11216720,1.94,3.26,0.03,0.02
10/31/11,79.88,4022482,56677771900,11216720,1.89,3.18,0.03,0.02
11/1/11,77.89,5773603,54932667850,11216720,1.83,3.08,0.03,0.02
11/2/11,77.39,3559886,56004960700,11216720,1.87,3.14,0.03,0.02
11/3/11,78.86,4338315,57556295800,11216720,1.91,3.29,0.03,0.02
11/4/11,78.97,3771861,57318008500,11216720,1.9,3.28,0.03,0.02
