Date,open,high,low,close,volume,adjusted_close,avg open/close tomorrow
12/12/80,28.75,28.875,28.75,28.75,117258400,0.434,27.3125
12/15/80,27.375,27.375,27.25,27.25,43971200,0.411,25.3125
12/16/80,25.375,25.375,25.25,25.25,26432000,0.381,25.875
12/17/80,25.875,26,25.875,25.875,21610400,0.391,26.625
12/18/80,26.625,26.75,26.625,26.625,18362400,0.402,28.25
12/19/80,28.25,28.375,28.25,28.25,12157600,0.426,29.625
12/22/80,29.625,29.75,29.625,29.625,9340800,0.447,30.875
12/23/80,30.875,31,30.875,30.875,11737600,0.466,32.5
12/24/80,32.5,32.625,32.5,32.5,12000800,0.491,35.5
12/26/80,35.5,35.625,35.5,35.5,13893600,0.536,36
12/29/80,36,36.125,36,36,23290400,0.543,35.1875
12/30/80,35.25,35.25,35.125,35.125,17220000,0.53,34.1875
12/31/80,34.25,34.25,34.125,34.125,8937600,0.515,34.5
1/2/81,34.5,34.75,34.5,34.5,5415200,0.521,33.8125
1/5/81,33.875,33.875,33.75,33.75,8932000,0.509,32.3125
1/6/81,32.375,32.375,32.25,32.25,11289600,0.487,30.9375
1/7/81,31,31,30.875,30.875,13921600,0.466,30.3125
1/8/81,30.375,30.375,30.25,30.25,9956800,0.457,31.875
1/9/81,31.875,32,31.875,31.875,5376000,0.481,31.75
1/12/81,31.875,31.875,31.625,31.625,5924800,0.477,30.5625
1/13/81,30.625,30.625,30.5,30.5,5762400,0.46,30.625
1/14/81,30.625,30.75,30.625,30.625,3572800,0.462,31.25
1/15/81,31.25,31.5,31.25,31.25,3516800,0.472,31.0625
1/16/81,31.125,31.125,31,31,3348800,0.468,32.875
1/19/81,32.875,33,32.875,32.875,10393600,0.496,31.9375
1/20/81,32,32,31.875,31.875,7520800,0.481,32.5
1/21/81,32.5,32.75,32.5,32.5,3976000,0.491,32.875
1/22/81,32.875,33.125,32.875,32.875,8887200,0.496,32.8125
1/23/81,32.875,33,32.75,32.75,2805600,0.494,32.3125
1/26/81,32.375,32.375,32.25,32.25,6160000,0.487,32.125
1/27/81,32.25,32.25,32,32,5924800,0.483,31.0625
1/28/81,31.125,31.125,31,31,7039200,0.468,29.9375
1/29/81,30,30,29.875,29.875,10976000,0.451,28.375
1/30/81,28.5,28.5,28.25,28.25,11547200,0.426,26.6875
2/2/81,26.75,26.75,26.625,26.625,5941600,0.402,27.625
2/3/81,27.625,27.75,27.625,27.625,4788000,0.417,28.625
2/4/81,28.625,28.75,28.625,28.625,6966400,0.432,28.625
