Date,open,high,low,close,volume,adjusted_close,avg open/close tmrw
8/19/04,100,104.06,95.96,100.34,44871300,50.12,104.66
8/20/04,101.01,109.08,100.5,108.31,22942800,54.101,110.075
8/23/04,110.75,113.48,109.05,109.4,18342800,54.645,108.055
8/24/04,111.24,111.6,103.57,104.87,15319700,52.383,105.48
8/25/04,104.96,108,103.88,106,9232100,52.947,106.43
8/26/04,104.95,107.95,104.66,107.91,7128600,53.901,107.125
8/27/04,108.1,108.62,105.69,106.15,6241200,53.022,103.645
8/30/04,105.28,105.49,102.01,102.01,5221400,50.954,102.335
8/31/04,102.3,103.71,102.16,102.37,4941200,51.134,101.475
9/1/04,102.7,102.97,99.67,100.25,9181600,50.075,100.35
9/2/04,99.19,102.37,98.94,101.51,15190400,50.704,100.48
9/3/04,100.95,101.74,99.32,100.01,5176800,49.955,101.295
9/7/04,101.01,102,99.61,101.58,5875200,50.739,101.52
9/8/04,100.74,103.03,100.5,102.3,5009200,51.099,102.42
9/9/04,102.53,102.71,101,102.31,4080900,51.104,103.465
9/10/04,101.6,106.56,101.3,105.33,8740200,52.612,107.065
9/13/04,106.63,108.41,106.46,107.5,7881300,53.696,109.47
9/14/04,107.45,112,106.79,111.49,10880300,55.689,111.28
9/15/04,110.56,114.23,110.2,112,10763900,55.944,113.155
9/16/04,112.34,115.8,111.65,113.97,9310200,56.928,115.955
9/17/04,114.42,117.49,113.55,117.49,9517400,58.686,118.155
9/20/04,116.95,121.6,116.77,119.36,10679200,59.62,118.825
9/21/04,119.81,120.42,117.51,117.84,7263000,58.861,117.89
9/22/04,117.4,119.67,116.81,118.38,7617100,59.131,119.83
9/23/04,118.84,122.63,117.02,120.82,8576100,60.35,120.385
9/24/04,120.94,124.1,119.76,119.83,9166700,59.855,118.91
9/27/04,119.56,120.88,117.8,118.26,7099600,59.071,124.08
9/28/04,121.3,127.4,120.21,126.86,17009400,63.367,128.89
9/29/04,126.7,135.02,126.23,131.08,30661400,65.475,129.75
9/30/04,129.9,132.3,129,129.6,13823300,64.735,131.69
10/1/04,130.8,134.24,128.9,132.58,15196700,66.224,135.155
10/4/04,135.25,136.87,134.03,135.06,13084600,67.463,136.515
10/5/04,134.66,138.53,132.24,138.37,15044200,69.116,137.315
10/6/04,137.55,138.45,136,137.08,13444900,68.472,137.885
10/7/04,136.92,139.88,136.55,138.85,14182100,69.356,138.225
10/8/04,138.72,139.68,137.02,137.73,11122000,68.796,136.13
10/11/04,137,138.86,133.85,135.26,10521800,67.563,135.92
10/12/04,134.44,137.61,133.4,137.4,11720800,68.631,142.11
10/13/04,143.32,143.55,140.08,140.9,19860000,70.38,141.505
10/14/04,141.01,142.38,138.56,142,10491700,70.929,144.52
10/15/04,144.93,145.5,141.95,144.11,13257400,71.983,146.18
10/18/04,143.2,149.2,141.21,149.16,14103000,74.506,149.22
10/19/04,150.5,152.4,147.35,147.94,18195900,73.896,144.26
10/20/04,148.03,148.99,139.6,140.49,22830600,70.175,146.89
10/21/04,144.4,150.13,141.62,149.38,29288200,74.616,171.485
10/22/04,170.54,180.17,164.08,172.43,74060200,86.129,181.9
10/25/04,176.4,194.43,172.55,187.4,65773900,93.607,184.07
10/26/04,186.34,192.64,180,181.8,44781400,90.809,184.345
10/27/04,182.72,189.52,181.77,185.97,26813100,92.892,189.99
10/28/04,186.68,194.39,185.6,193.3,29804800,96.554,194.765
10/29/04,198.89,199.95,190.6,190.64,42483600,95.225,194.79
11/1/04,193.55,197.67,191.27,196.03,24541300,97.917,196.825
11/2/04,198.78,199.25,193.34,194.87,22777500,97.338,194.925
11/3/04,198.18,201.6,190.75,191.67,27881400,95.739,186.57
11/4/04,188.44,190.4,183.35,184.7,28927200,92.258,175.665
11/5/04,181.98,182.3,168.55,169.35,39814800,84.591,171.74
11/8/04,170.93,175.44,169.4,172.55,22467400,86.189,171.4
11/9/04,174.1,175.2,165.27,168.7,22211300,84.266,169.265
11/10/04,170.67,172.52,166.33,167.86,21367700,83.846,176.075
11/11/04,169.13,183.75,167.57,183.02,30083200,91.419,183.615
11/12/04,185.23,189.8,177.4,182,33617600,90.909,182.66
11/15/04,180.45,188.32,178.75,184.87,23892200,92.343,175.02
11/16/04,177.5,179.47,170.83,172.54,41991500,86.184,170.76
11/17/04,169.02,177.5,169,172.5,36401600,86.164,168.915
11/18/04,170.29,174.42,165.73,167.54,33383800,83.686,169.25
11/19/04,169.1,169.98,166.52,169.4,17604300,84.616,164.785
11/22/04,164.47,169.5,161.31,165.1,24829000,82.468,167.745
11/23/04,167.97,170.83,166.5,167.52,24919600,83.676,174.79
11/24/04,174.82,177.21,172.51,174.76,30676400,87.293,177.595
11/26/04,175.8,180.03,175.32,179.39,13008700,89.606,180.705
11/29/04,180.36,182.95,177.51,181.05,21413100,90.435,181.345
11/30/04,180.71,183,180.25,181.98,15457600,90.899,180.955
12/1/04,181.95,182.5,179.55,179.96,15787100,89.89,179.65
12/2/04,179.9,181.51,178.55,179.4,12568700,89.611,180.175
12/3/04,179.95,181.06,177.6,180.4,11782300,90.11,177.71
12/6/04,179.13,180.7,176.02,176.29,12554800,88.057,173.715
12/7/04,176,176.2,170.55,171.43,13793200,85.63,170.165
12/8/04,170.35,173.68,168.73,169.98,15140000,84.905,171.84
12/9/04,170.25,173.5,168.47,173.43,15365300,86.629,172.54
12/10/04,173.43,174.88,171.29,171.65,8666700,85.739,171.31
12/13/04,172.17,173.18,169.45,170.45,9673200,85.14,174.845
12/14/04,171,178.82,169.6,178.69,22259800,89.256,178.885
